Season,game_id,home_team_id,Home Team,away_team_id,Away Team,Home Shots,Home Shots Blocked,Home Power Play Opportunities,Home PIM,Home Player Hits,Home Giveaways,Home Takeaways,Home Injured Players,Away Shots,Away Shots Blocked,Away Power Play Opportunities,Away PIM,Away Player Hits,Away Giveaways,Away Takeaways,Away Injured Players
2006,2006020788,9,Ottawa Senators (OTT),10,Toronto Maple Leafs (TOR),30.35,15.75,5.275,14.65,20.7375,11.3625,7.975,1.725,32.1125,13.4125,5.1875,14.225000000000001,20.924999999999997,12.375,7.975,2.2
2006,2006020773,12,Carolina Hurricanes (CAR),14,Tampa Bay Lightning (TBL),28.147115384499998,13.6009615385,4.925320513,14.1477564105,20.174679487,9.753205128000001,6.739423077,2.2794871795000002,30.118269231,13.704807692500001,5.5458333335,12.3541666665,18.6647435895,10.095512820500002,8.689102563999999,1.705769231
2011,2011020610,28,San Jose Sharks (SJS),15,Washington Capitals (WSH),32.044117647,15.2483660135,3.571078431,9.986111111,19.7883986925,9.672385621,7.763888889,2.5285947715,28.866013072,15.4044117645,3.3080065359999997,10.6633986925,22.5759803925,9.169117647,7.4411764705,2.6266339865
2011,2011021021,18,Nashville Predators (NSH),17,Detroit Red Wings (DET),27.333570412500002,14.100640114,3.5889046945,10.598506401,20.7734708395,8.059032716499999,7.277027027,2.402916074,32.3321479375,11.9804409675,3.7357752489999996,9.3787339975,17.9935988625,7.3627311525,6.9509246085,2.558321479
2010,2010021173,23,Vancouver Canucks (VAN),22,Edmonton Oilers (EDM),32.559126984,13.693253968,3.8476190480000003,12.6876984125,21.371428571499997,8.850396825499999,8.802380952,2.579761905,27.6281746035,15.2436507935,3.661904762,13.3920634925,21.746428571499997,10.472222222,7.5734126985,2.658730159
2018,2018020667,28,San Jose Sharks (SJS),22,Edmonton Oilers (EDM),32.970394737,13.6361842105,3.0532894735,8.2868421055,19.939473684,10.5,8.704605263,2.8039473685000003,29.2039473685,15.370394737000002,2.8763157895,9.447368421,24.8361842105,10.9440789475,8.948026316,2.7980263159999996
2014,2014020791,6,Boston Bruins (BOS),8,Montreal Canadiens (MTL),30.432432432,14.2297297295,2.9054054049999998,9.4864864865,24.621621622,8.283783784,5.6891891895,2.445945946,28.4864864865,16.3513513515,2.9324324324999997,9.378378378499999,22.0135135135,9.162162162,6.054054054,2.3918918920000003
2015,2015021054,5,Pittsburgh Penguins (PIT),12,Carolina Hurricanes (CAR),29.0913940255,14.441678521,2.8207681365,8.535917496500002,23.5913940255,8.060810811,7.4765291605,2.6269559035,30.597083926,12.654694167999999,3.228662873,7.754623044000001,23.3477951635,7.4292318635,7.003556187499999,2.4950213375
2005,2005020751,29,Columbus Blue Jackets (CBJ),30,Minnesota Wild (MIN),29.987179487,11.329622132499999,5.665654521,17.2442645075,14.1423751685,8.4949392715,7.068825910999999,2.0880566805000003,29.2182860995,12.8491902835,6.2429149795,15.5438596495,10.8046558705,8.6393387315,6.6990553305,2.58097166
2018,2018021196,28,San Jose Sharks (SJS),16,Chicago Blackhawks (CHI),34.6600609755,14.455182927,2.950914634,7.757317072999999,19.2780487805,9.1158536585,8.667378049,2.779878049,29.893292683,14.65152439,2.85,8.6463414635,19.392987805,9.007621951,8.194817073,2.788719512
2016,2016020796,17,Detroit Red Wings (DET),29,Columbus Blue Jackets (CBJ),29.473015873,13.1896825395,3.1646825395000002,9.823015873,18.142857143,7.4642857145,5.277777778,2.4658730159999998,30.3075396825,13.7468253965,2.9988095235000003,10.055952381,20.880158729999998,7.6079365075,5.820634921,2.479761905
2010,2010020707,26,Los Angeles Kings (LAK),27,Phoenix Coyotes (PHX),31.246996997,13.621621621500001,3.9598348349999997,12.4512012015,23.220720720499997,8.5097597595,6.1392642644999995,2.642642643,29.6666666665,13.109984985,3.7672672675,12.569069069000001,24.219219219,8.346846847,5.560810811,2.6587837839999997
2006,2006020885,3,NY Rangers Rangers (NYR),16,Chicago Blackhawks (CHI),29.5635135135,13.7716216215,5.5638513515,13.6635135135,17.310135135,8.898310811,5.9466216215,2.304054054,27.9152027025,14.399662162,5.1283783785,15.176689189000001,19.644256757,7.2908783784999995,5.7402027024999995,2.1875
2014,2014020776,7,Buffalo Sabres (BUF),25,Dallas Stars (DAL),27.234962406,16.760150376,3.1507518799999996,11.746992481,23.948120301,7.998120301,6.30075188,2.7770676695,32.695112782,12.5342105265,3.454511278,11.267293233,19.831954887499997,7.9439849625,6.1368421054999995,2.4116541355
2017,2017020778,1,New Jersey Devils (NJD),4,Philadelphia Flyers (PHI),30.7236842105,14.8289473685,3.092105263,9.289473684,21.131578947,8.7631578945,7.6710526315,2.8815789475,32.592105263,13.644736842,3.5,8.605263158,22.302631579,8.802631579,6.697368421,2.6052631575
2014,2014020989,53,Arizona Coyotes (ARI),18,Nashville Predators (NSH),28.625,15.611111111,3.0138888885000004,9.8333333335,24.2916666665,7.5694444445,6.736111111,2.611111111,32.3055555555,15.4583333335,3.333333333,8.777777778,23.861111111,7.736111111,6.4305555555,2.75
2017,2017020807,12,Carolina Hurricanes (CAR),28,San Jose Sharks (SJS),32.2642857145,15.1714285715,3.246992481,7.722932330500001,22.1293233085,11.262781955000001,9.5368421055,2.556766917,30.903007519,16.2913533835,3.022556391,8.359774435999999,20.8281954885,11.640977443499999,10.646616541,2.801503759
