Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Injured Players,Giveaways,Takeaways
2008,6,Boston Bruins (BOS),5.957935632,5.857158552,1.765961103,12.625823197,6.492083421,0.600300225,4.232187544,2.926527732
2017,26,Los Angeles Kings (LAK),6.728492000,4.382981441,1.602545209,5.705432220,7.220360326,0.502356122,6.138526816,2.554137180
2017,21,Colorado Avalanche (COL),5.893575675,3.897331034,1.679678934,6.895182633,4.620914720,0.605282055,3.041010975,3.202851582
2013,27,Phoenix Coyotes (PHX),5.497768848,4.267712650,1.535729054,6.945889213,8.826806771,0.474828711,3.275843739,3.061716994
2003,28,San Jose Sharks (SJS),5.937107819,3.954698426,1.748873511,13.499694135,7.192442647,0.639068391,3.490871838,3.578380193
2011,21,Colorado Avalanche (COL),7.109989931,4.954175981,1.516886505,7.877177954,6.688358771,0.365517768,3.295807667,3.690634461
2016,2,NY Islanders Islanders (NYI),4.044500364,4.620924277,1.323986849,6.362574396,7.286455721,0.481593992,4.072453063,4.454626525
2008,17,Detroit Red Wings (DET),5.357386238,3.166791977,1.289764344,4.906992096,5.190345127,0.368394199,3.333690457,3.564707962
2010,30,Minnesota Wild (MIN),6.335703682,4.611807538,1.487687203,6.186296976,6.832729044,0.797895129,3.536807743,3.474920873
2016,19,St Louis Blues (STL),5.121936571,3.602426610,1.548514739,5.926223091,5.645163228,0.450225169,2.973607631,3.540202400
2010,18,Nashville Predators (NSH),6.278448767,3.593663091,1.658991336,5.100933201,5.996119867,0.753370804,4.481359457,3.376522013
2011,7,Buffalo Sabres (BUF),7.842002104,4.935469467,1.955971837,6.534500723,6.050959768,0.569494797,3.425526855,2.824974421
2011,12,Carolina Hurricanes (CAR),5.780105136,5.438702711,1.842517787,6.157703118,6.962122797,0.635993066,4.056571117,3.892711796
2005,10,Toronto Maple Leafs (TOR),5.283229863,4.826432673,2.575737544,9.790842530,7.560142924,0.777071865,5.361206208,4.381520745
2018,54,Vegas Golden Knights (VGK),7.858356996,6.184728861,1.324301582,4.763878801,6.878571821,0.397436618,4.944288931,6.574905660
2010,6,Boston Bruins (BOS),6.984961170,3.593645185,1.443925426,11.199879534,6.312999941,0.576662538,3.651809727,3.565598416
2003,18,Nashville Predators (NSH),5.357904708,3.269872091,1.627882060,14.418242413,5.025648501,0.649175301,6.496641379,3.643977419
2013,19,St Louis Blues (STL),5.456118654,4.874677746,1.518220423,11.052017848,5.418267697,0.601392895,3.072669124,2.969025886
2018,23,Vancouver Canucks (VAN),5.732520268,4.249547356,1.440455793,6.656714407,6.760074428,0.415299732,3.520390249,4.003265218
2003,15,Washington Capitals (WSH),7.326266046,4.216014086,2.043079581,6.766593440,5.899814218,0.740302673,8.297852394,4.875476415
2003,9,Ottawa Senators (OTT),6.861903110,2.951862474,2.477037401,6.524678427,9.123839348,1.548168401,5.717697394,3.569269188
2009,12,Carolina Hurricanes (CAR),6.620827563,5.171550954,1.772864894,10.285072972,11.787937291,0.820618246,3.758391421,4.018848977
2013,14,Tampa Bay Lightning (TBL),7.666989373,4.429992247,1.429872167,6.883158268,4.704349496,0.543641940,3.485655974,3.290480278
2005,8,Montreal Canadiens (MTL),6.795423296,3.845735630,2.188534336,8.728124583,7.260405778,0.680802514,4.750939757,6.304193616
2006,3,NY Rangers Rangers (NYR),6.527260390,4.863258378,2.110869307,6.703233051,8.435425908,0.599144690,5.143517204,4.594031803
2003,11,Atlanta Thrashers (ATL),7.147378557,4.147255731,2.291803149,13.002802563,5.448074107,0.700876644,4.568122841,3.029544133
2011,3,NY Rangers Rangers (NYR),5.910174171,4.153789626,1.889822365,8.406866053,7.675564195,0.940702203,2.977161746,3.130495168
2006,25,Dallas Stars (DAL),6.793960166,4.588020545,2.229721938,8.644578934,8.157607413,0.668351447,5.434681452,4.827524547
2014,13,Florida Panthers (FLA),7.472301795,4.907891091,1.693784981,6.103725271,9.114583383,0.657215926,2.818903774,2.552639102
2011,30,Minnesota Wild (MIN),6.132667885,5.635055115,1.767948253,7.675969829,6.615395796,0.675106829,3.370688129,3.079710276
2009,7,Buffalo Sabres (BUF),5.899060974,5.260937453,1.675415633,9.336923350,6.116723387,0.467571900,5.640728124,2.912581485
2017,52,Winnipeg Jets (WPG),7.883856650,3.673408108,1.754500671,4.294961427,5.980174172,0.307354741,5.142110029,3.347204606
2013,7,Buffalo Sabres (BUF),6.484279755,4.202049497,1.495382005,6.300290249,7.380080423,0.629889779,3.359077375,2.635274059
2009,21,Colorado Avalanche (COL),6.351397004,4.995241638,1.552338912,6.701474173,6.158278188,0.263651655,4.810810996,4.648760653
2017,19,St Louis Blues (STL),6.605983983,5.873254800,1.613963460,4.860241889,7.407560409,0.558744237,3.396734443,3.830875847
2018,10,Toronto Maple Leafs (TOR),5.704722574,5.132390330,1.398379629,6.137537431,6.614709817,0.498310235,5.834885084,5.025978396
2017,15,Washington Capitals (WSH),6.436623976,4.540346197,1.558886848,6.402673720,6.401071625,0.438529010,5.670379628,3.275296033
2009,2,NY Islanders Islanders (NYI),6.197265329,7.013836499,1.681680344,5.003047852,7.138610236,0.401217659,5.715724993,7.486736239
2008,14,Tampa Bay Lightning (TBL),7.815735044,4.908366683,1.382429424,8.182976910,6.953359357,0.691788572,3.722411746,3.332738042
2006,8,Montreal Canadiens (MTL),6.126685329,5.866703306,1.941535226,6.964296266,8.532091541,0.556865849,5.753902751,6.479862668
2011,27,Phoenix Coyotes (PHX),6.506614511,4.762511047,1.809034159,4.005731386,8.668509095,0.506369684,3.568493106,3.073986453
2015,53,Arizona Coyotes (ARI),5.824959977,4.775848632,1.662614121,7.543314079,4.925073523,0.424451093,3.554563354,2.602044373
