Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2008,23,Vancouver Canucks (VAN),5.758103944,4.438372057,1.900063636,9.544088009,5.659431132,5.304457451,4.872265984,0.674679208
2015,29,Columbus Blue Jackets (CBJ),5.427599783,4.838414659,1.619716574,7.792085677,8.828322109,5.489408278,2.861159698,0.485970515
2011,10,Toronto Maple Leafs (TOR),6.594883812,4.938814827,1.536835015,6.701485649,7.514650356,4.007313135,4.362686447,0.720777025
2003,30,Minnesota Wild (MIN),7.077301283,4.427702781,1.866070487,6.742363047,6.079370709,7.570484349,3.876103982,0.891320564
2006,18,Nashville Predators (NSH),6.515112713,4.439881824,1.986798536,10.309645916,4.957443728,5.014688277,2.674919752,0.767068486
2014,24,Anaheim Ducks (ANA),7.164844233,4.707141755,1.318702323,12.019779810,9.190569723,4.328607409,3.930404516,0.594546099
2013,1,New Jersey Devils (NJD),5.662994985,5.527095122,1.388541962,3.660767612,9.517762598,5.320232894,3.404265617,0.529610994
2013,5,Pittsburgh Penguins (PIT),6.962693019,3.954444419,1.343457498,6.910284547,7.878615996,3.659188869,4.777086716,0.496795772
2017,6,Boston Bruins (BOS),5.973163205,3.797818245,1.833128572,7.756136774,7.123956117,4.724862360,4.609853658,0.649555172
2003,9,Ottawa Senators (OTT),6.303627074,4.210719503,2.063092147,8.833198561,8.323375002,4.574168326,3.330832395,1.492840055
2005,2,NY Islanders Islanders (NYI),5.645030236,5.329953884,2.436583045,5.819223605,6.103339311,5.068154120,4.527360931,0.906267798
2005,6,Boston Bruins (BOS),6.062324479,4.650823204,1.937317880,7.825079133,5.937380679,5.678250787,4.532794992,0.903604289
2006,4,Philadelphia Flyers (PHI),6.606030551,5.031283516,1.599549486,6.743921743,5.573559416,4.217438415,4.792856296,0.787477060
2015,23,Vancouver Canucks (VAN),6.435366365,4.274040866,1.655414840,9.200199454,8.212331567,4.448935813,2.912302839,0.506009406
2013,4,Philadelphia Flyers (PHI),6.277758868,4.326268506,1.916615325,12.151706366,8.559232374,3.721586010,2.772040859,0.537400149
2015,22,Edmonton Oilers (EDM),7.694930071,4.359062110,1.162476387,3.414053459,6.644873103,4.750757969,3.962125096,0.488851530
2010,28,San Jose Sharks (SJS),5.660122291,3.955387776,2.009401799,9.419608192,8.080190201,4.165153827,2.271256475,0.687213020
2015,52,Winnipeg Jets (WPG),6.668273616,5.115801850,1.532712089,11.703343709,6.370816399,3.750449708,4.045769886,0.576662538
2013,27,Phoenix Coyotes (PHX),7.394011648,4.580247032,1.807208578,6.628100874,8.314582983,5.149818044,3.651224000,0.622023496
2013,17,Detroit Red Wings (DET),7.668910948,4.549993299,1.545646916,5.602699698,7.932873868,3.802117510,3.001625576,0.548834686
2013,52,Winnipeg Jets (WPG),5.123594394,6.056240482,1.612073351,5.504432803,7.849965046,3.707934801,3.384505584,0.480091455
2009,14,Tampa Bay Lightning (TBL),4.867408619,3.120548111,1.657152330,8.589797168,7.134198965,3.348842127,3.892711796,0.822753351
2003,6,Boston Bruins (BOS),4.805831569,4.052289801,2.289812928,6.299540501,5.118788086,7.393049675,4.755770621,0.674679208
2003,1,New Jersey Devils (NJD),6.748171243,4.670126768,1.502379066,3.698057632,7.518380838,6.763967808,3.869075846,0.942016432
2013,18,Nashville Predators (NSH),5.466916817,4.660183225,1.159133186,4.839739345,7.012808794,4.558381967,2.934760725,0.585618236
2009,15,Washington Capitals (WSH),6.205405005,5.751254044,1.705947364,8.252427770,6.815094484,4.596263812,4.205536644,0.800240349
2009,23,Vancouver Canucks (VAN),6.597153621,3.888180644,1.337573386,9.506778958,7.356141687,4.409779342,3.569726701,0.802240452
2015,10,Toronto Maple Leafs (TOR),6.447036972,3.916590678,1.380993431,3.776703862,7.425609910,3.556683849,2.775602323,0.454256763
2011,29,Columbus Blue Jackets (CBJ),5.902994608,4.387225518,1.258604022,6.357351329,5.988477424,4.753061286,3.546346934,0.647239460
2006,23,Vancouver Canucks (VAN),7.185323924,4.987027706,1.935533208,5.493463175,6.632435735,6.510968634,4.642408514,0.777552824
2006,15,Washington Capitals (WSH),6.305321960,4.627996713,1.858343697,15.757824781,5.560609487,5.795433076,3.327592898,0.664300795
2009,22,Edmonton Oilers (EDM),5.935065290,4.459504399,1.518264867,7.530067933,6.515268064,4.620952838,3.974276261,0.769615289
