Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2008,12,Carolina Hurricanes (CAR),29.729729730,15.351351351,3.891891892,13.135135135,24.135135135,7.108108108,8,2.297297297
2010,10,Toronto Maple Leafs (TOR),28.111111111,17.833333333,3.111111111,13.527777778,22.5,10.972222222,7.611111111,2.333333333
2014,29,Columbus Blue Jackets (CBJ),33.735294118,12.323529412,3.588235294,13.617647059,23.323529412,6.205882353,5.676470588,2.529411765
2005,27,Phoenix Coyotes (PHX),29.538461538,12.076923077,6.256410256,17.538461538,18.025641026,8.384615385,7.179487179,2.333333333
2018,3,NY Rangers Rangers (NYR),33.513513514,13.189189189,3.189189189,8.270270270,23.270270270,12.378378378,7.162162162,2.594594595
2005,18,Nashville Predators (NSH),31.861111111,9.944444444,6.722222222,18.916666667,14.277777778,7.5,6.944444444,2.666666667
2003,29,Columbus Blue Jackets (CBJ),30.5,10.638888889,4,17.972222222,11.083333333,7.861111111,5.055555556,2.361111111
2010,1,New Jersey Devils (NJD),27.810810811,12.486486486,3.486486486,11.135135135,18.567567568,6.513513514,6,2.432432432
2009,24,Anaheim Ducks (ANA),32.461538462,10.615384615,4.461538462,14.564102564,21.846153846,7.435897436,6.282051282,2.358974359
2010,26,Los Angeles Kings (LAK),28,14.081081081,3.756756757,13.027027027,27.216216216,10.027027027,5.621621622,2.567567568
2008,22,Edmonton Oilers (EDM),31.714285714,13.257142857,4.4,15.714285714,16.285714286,9.6,8.714285714,2.428571429
2006,2,NY Islanders Islanders (NYI),32.702702703,16.540540541,5.918918919,11.837837838,17.297297297,9.540540541,7.945945946,2.162162162
2017,23,Vancouver Canucks (VAN),31.846153846,13.179487179,3.564102564,9.564102564,17.538461538,8.205128205,6.589743590,2.692307692
2018,18,Nashville Predators (NSH),28.425,14.625,3.125,10.75,17.725,10.3,6.725,2.75
2009,7,Buffalo Sabres (BUF),31.256410256,13.564102564,3.333333333,13.974358974,19.358974359,10.384615385,5.615384615,2.307692308
2003,13,Florida Panthers (FLA),33.974358974,9.948717949,4.384615385,12.333333333,17.307692308,9.128205128,5.487179487,2.512820513
2006,7,Buffalo Sabres (BUF),31.052631579,13.184210526,5,16.684210526,17.657894737,12.789473684,7.184210526,2.157894737
2013,6,Boston Bruins (BOS),28.974358974,15.205128205,3.179487179,10,26.025641026,9.076923077,7.589743590,2.615384615
2009,26,Los Angeles Kings (LAK),27.225,11.8,3.875,12.35,25.575,9.25,6.35,2.225
2006,3,NY Rangers Rangers (NYR),29.425,14.475,5.5,14.975,22.775,8.825,7.075,2.375
2008,20,Calgary Flames (CGY),29.333333333,14.194444444,4.361111111,16.166666667,18.583333333,7.638888889,6.972222222,2.527777778
2008,21,Colorado Avalanche (COL),28.083333333,10.888888889,4.111111111,14.611111111,17.194444444,9.138888889,8.944444444,2.388888889
2011,9,Ottawa Senators (OTT),31.605263158,15.105263158,4.184210526,11.657894737,20.078947368,7.578947368,8.447368421,2.605263158
2010,4,Philadelphia Flyers (PHI),30.054054054,14.945945946,4.405405405,14.135135135,21.378378378,8.756756757,6.972972973,2.378378378
2014,6,Boston Bruins (BOS),29.540540541,15.081081081,3.108108108,7.945945946,25.351351351,8.864864865,6.621621622,2.621621622
2009,11,Atlanta Thrashers (ATL),34.153846154,13.358974359,3.794871795,13.179487179,17.076923077,6.589743590,8.230769231,2.179487179
2016,13,Florida Panthers (FLA),30.702702703,14.027027027,3.135135135,9.108108108,18.459459459,8.378378378,7.270270270,2.540540541
2015,24,Anaheim Ducks (ANA),27.657142857,15.257142857,3.485714286,10.314285714,23.571428571,10.485714286,6.057142857,2.628571429
2018,12,Carolina Hurricanes (CAR),27.921052632,17.210526316,3.078947368,8.5,24.421052632,11.973684211,9.684210526,2.710526316
2011,30,Minnesota Wild (MIN),31.7,11.675,3.575,12.825,21.475,7.55,6.025,2.575
2016,52,Winnipeg Jets (WPG),30.210526316,12.578947368,3.578947368,9.815789474,19.789473684,10.631578947,7.131578947,2.684210526
2005,3,NY Rangers Rangers (NYR),28.769230769,13.307692308,6.487179487,13.897435897,17.410256410,9.076923077,7.333333333,2.358974359
2010,14,Tampa Bay Lightning (TBL),27.263157895,14.131578947,3.947368421,12.868421053,22.578947368,8.236842105,5.842105263,2.605263158
2008,9,Ottawa Senators (OTT),28.8,12.971428571,4.285714286,14.257142857,23.257142857,11.028571429,7.771428571,2.314285714
2011,20,Calgary Flames (CGY),30.820512821,13.410256410,3.512820513,11.230769231,17.487179487,9.461538462,7.897435897,2.410256410
2011,21,Colorado Avalanche (COL),29.282051282,14.897435897,3.666666667,10.256410256,17.692307692,6.076923077,7.923076923,2.666666667
2005,13,Florida Panthers (FLA),35.25,12.15,6.45,13.3,11.05,9.35,5.975,2.175
2008,30,Minnesota Wild (MIN),30.277777778,12.083333333,3.777777778,12.75,17.083333333,6.833333333,5.194444444,2.444444444
2008,15,Washington Capitals (WSH),29.342105263,15.710526316,4.710526316,11.684210526,20.631578947,10.289473684,8.342105263,2.289473684
2010,29,Columbus Blue Jackets (CBJ),30.270270270,13.459459459,4.189189189,15,19.432432432,5.513513514,5.891891892,2.594594595
2014,10,Toronto Maple Leafs (TOR),34.540540541,12.756756757,3.378378378,10.135135135,30.405405405,9.324324324,9.054054054,2.675675676
2011,5,Pittsburgh Penguins (PIT),26.973684211,16.894736842,3.605263158,12.473684211,22.710526316,7.947368421,6.657894737,2.605263158
2010,7,Buffalo Sabres (BUF),29.378378378,14.243243243,3.972972973,13.162162162,19.702702703,9,6.837837838,2.270270270
2015,13,Florida Panthers (FLA),28.810810811,10.918918919,3.108108108,10.297297297,27.648648649,6.270270270,5.189189189,2.351351351
2005,15,Washington Capitals (WSH),35.25,13.527777778,7.305555556,16.333333333,15.111111111,10.5,6.25,2.138888889
2006,28,San Jose Sharks (SJS),27.410256410,11.205128205,4.205128205,14.948717949,17.897435897,10.128205128,6.179487179,2.358974359
2015,2,NY Islanders Islanders (NYI),29.789473684,15.368421053,2.894736842,8.552631579,28.605263158,9.473684211,7.5,2.5
2003,3,NY Rangers Rangers (NYR),29.638888889,14.111111111,4.888888889,16.527777778,15.388888889,7.527777778,5.805555556,2.416666667
2014,9,Ottawa Senators (OTT),33.25,15.416666667,3.555555556,12.527777778,25.166666667,8.583333333,6.25,2.75
2013,21,Colorado Avalanche (COL),32.026315789,14.210526316,3.052631579,10.026315789,21.921052632,6.447368421,8.447368421,2.710526316
2013,20,Calgary Flames (CGY),29.846153846,12.948717949,3.256410256,9.487179487,18.846153846,10.205128205,6.435897436,2.615384615
2015,1,New Jersey Devils (NJD),28.5,9.394736842,3.210526316,9.842105263,22.815789474,6.947368421,6.394736842,2.526315789
2014,30,Minnesota Wild (MIN),26.558823529,14.411764706,3.029411765,11.470588235,22.294117647,7.676470588,5.617647059,2.647058824
2009,3,NY Rangers Rangers (NYR),30.487179487,14.230769231,4.153846154,12.564102564,27.333333333,6.435897436,6.923076923,2.358974359
2003,4,Philadelphia Flyers (PHI),25.263157895,11.026315789,4.5,14.947368421,17.710526316,11.657894737,5.815789474,3.342105263
2015,16,Chicago Blackhawks (CHI),29.894736842,16.342105263,2.842105263,8.368421053,31.973684211,8.789473684,6.657894737,2.526315789
2009,13,Florida Panthers (FLA),34.170731707,12.902439024,3.902439024,13.317073171,24.390243902,6.878048780,6.658536585,2.243902439
2017,26,Los Angeles Kings (LAK),31.641025641,14.512820513,3.384615385,8.307692308,25.153846154,9.256410256,5.538461538,2.641025641
2018,9,Ottawa Senators (OTT),37.410256410,12.923076923,2.820512821,9.717948718,24.743589744,10.102564103,7.333333333,2.717948718
2017,21,Colorado Avalanche (COL),31.891891892,14.216216216,3.648648649,10.702702703,18.540540541,6.810810811,7.567567568,2.729729730
2017,20,Calgary Flames (CGY),31.315789474,16.815789474,3.289473684,10.236842105,14.026315789,9.552631579,7.736842105,2.868421053
2015,8,Montreal Canadiens (MTL),27.666666667,15.333333333,3.307692308,9.282051282,30.153846154,12.333333333,5.564102564,2.641025641
2016,10,Toronto Maple Leafs (TOR),32.628571429,15.028571429,3.4,11.571428571,27.257142857,10.628571429,9.114285714,2.542857143
2003,14,Tampa Bay Lightning (TBL),27.285714286,10.6,3.742857143,16.085714286,13.171428571,8.8,7.028571429,2.6
2006,30,Minnesota Wild (MIN),30.410256410,13.564102564,4.820512821,12.461538462,14,8.846153846,5.666666667,2.179487179
2016,19,St Louis Blues (STL),27.702702703,13.135135135,3.486486486,9.216216216,20.837837838,6.135135135,6.135135135,2.648648649
2015,7,Buffalo Sabres (BUF),29.421052632,12.605263158,2.447368421,8.157894737,20.763157895,5.657894737,4.763157895,2.684210526
2010,13,Florida Panthers (FLA),32.514285714,14.228571429,3.257142857,9.828571429,25.6,6.571428571,5.228571429,2.342857143
2014,14,Tampa Bay Lightning (TBL),27.025641026,13.769230769,3.179487179,10.538461538,22,7.641025641,6.615384615,2.538461538
2005,21,Colorado Avalanche (COL),29.461538462,12.948717949,5.743589744,16.410256410,14.435897436,8.487179487,10.794871795,2.179487179
2005,20,Calgary Flames (CGY),27,12.526315789,6.157894737,16.868421053,20.105263158,12.394736842,8.5,2.315789474
2006,9,Ottawa Senators (OTT),30.975,14.375,5.05,14.525,21.65,12.05,9.075,2.175
2013,12,Carolina Hurricanes (CAR),30.897435897,16.051282051,3.333333333,8.974358974,24.153846154,8.794871795,8.769230769,2.641025641
2018,28,San Jose Sharks (SJS),28.25,16.425,2.7,9,23.225,9.625,8.975,2.675
2015,3,NY Rangers Rangers (NYR),30.526315789,12.657894737,3.315789474,8.078947368,22.368421053,8.394736842,5.631578947,2.631578947
2008,18,Nashville Predators (NSH),29.055555556,11.638888889,4.888888889,13.555555556,17.777777778,8.638888889,7.388888889,2.5
2017,14,Tampa Bay Lightning (TBL),31.342105263,15.526315789,3.394736842,10.394736842,19.447368421,8.394736842,7.5,2.657894737
2006,29,Columbus Blue Jackets (CBJ),28.736842105,11.894736842,5.736842105,17.236842105,13.842105263,6.578947368,5.894736842,2.263157895
2015,5,Pittsburgh Penguins (PIT),31.378378378,13.756756757,3.378378378,9.351351351,27.432432432,6.621621622,5.270270270,2.621621622
2009,16,Chicago Blackhawks (CHI),24.230769231,14.641025641,3.410256410,11.717948718,22.666666667,5.692307692,5.794871795,2.435897436
2014,21,Colorado Avalanche (COL),33.805555556,12.944444444,3.555555556,10.305555556,20.833333333,5.277777778,9.305555556,2.638888889
2014,20,Calgary Flames (CGY),28.289473684,15.078947368,2.552631579,9.5,19.236842105,9.157894737,8.052631579,2.736842105
2013,9,Ottawa Senators (OTT),34.166666667,14.976190476,4.071428571,12.166666667,24.690476190,8.476190476,7.904761905,2.619047619
2006,1,New Jersey Devils (NJD),28.552631579,14.210526316,3.763157895,13.894736842,17.131578947,8.236842105,7.552631579,2.078947368
2005,24,Anaheim Ducks (ANA),29.315789474,10.684210526,6.710526316,17.736842105,11.447368421,7.210526316,7.263157895,2.184210526
2011,2,NY Islanders Islanders (NYI),30.5,14.277777778,3.277777778,10.388888889,20.361111111,8.5,9.75,2.527777778
2018,53,Arizona Coyotes (ARI),30.641025641,15.410256410,3.128205128,9.025641026,22.974358974,10.769230769,5.769230769,2.641025641
2013,30,Minnesota Wild (MIN),27.214285714,13.857142857,3.166666667,10.238095238,21.142857143,6.261904762,5.952380952,2.642857143
2017,15,Washington Capitals (WSH),31.775,15.05,3.45,9.5,20.4,8.85,7.875,2.55
2003,23,Vancouver Canucks (VAN),26.513513514,13.486486486,4.189189189,16.108108108,16.945945946,9.621621622,7.891891892,2.432432432
2003,16,Chicago Blackhawks (CHI),29.631578947,9.605263158,4.605263158,16.184210526,17,7.078947368,4.605263158,2.473684211
2003,26,Los Angeles Kings (LAK),25.135135135,11.621621622,4.351351351,16.513513514,17.189189189,11.513513514,6.081081081,2.513513514
2003,20,Calgary Flames (CGY),24.028571429,13.6,4.6,16.828571429,17.485714286,10.914285714,5.257142857,2.514285714
2003,21,Colorado Avalanche (COL),28.485714286,12.342857143,4.457142857,15.171428571,12.628571429,7.542857143,10.171428571,2.657142857
2014,17,Detroit Red Wings (DET),27.702702703,13.351351351,3.513513514,9,22.891891892,6,5.243243243,2.540540541
2017,53,Arizona Coyotes (ARI),31.975609756,15.536585366,2.634146341,8.975609756,20.243902439,8.024390244,6.634146341,2.585365854
2018,25,Dallas Stars (DAL),31.384615385,12.743589744,3.076923077,7.666666667,20.358974359,10.923076923,6.307692308,2.641025641
2015,4,Philadelphia Flyers (PHI),32.638888889,15.944444444,3.472222222,11.222222222,27.055555556,8.722222222,6.416666667,2.444444444
2006,6,Boston Bruins (BOS),33.194444444,11.138888889,5.444444444,15.027777778,16.916666667,8.388888889,5.944444444,1.972222222
2003,24,Anaheim Ducks (ANA),30.666666667,9.25,4.25,14.166666667,16.222222222,11.111111111,9.472222222,2.444444444
2005,23,Vancouver Canucks (VAN),29.973684211,13.157894737,6.184210526,18.342105263,15.342105263,8.447368421,8.605263158,2.552631579
2010,17,Detroit Red Wings (DET),29.648648649,13.891891892,3.810810811,10.864864865,24.675675676,8.054054054,6.891891892,2.432432432
2016,29,Columbus Blue Jackets (CBJ),30.057142857,13.657142857,2.857142857,9.257142857,16.285714286,7.428571429,5,2.542857143
2017,5,Pittsburgh Penguins (PIT),30.666666667,14.230769231,3.615384615,10.256410256,24.307692308,8.384615385,7.282051282,2.743589744
2005,16,Chicago Blackhawks (CHI),28.972972973,12.243243243,7.756756757,17.891891892,14.864864865,8.702702703,5.837837838,2.135135135
2017,4,Philadelphia Flyers (PHI),30.868421053,14.552631579,3.184210526,9.131578947,20.736842105,9.789473684,6.763157895,2.789473684
2010,16,Chicago Blackhawks (CHI),29.128205128,14.923076923,3.333333333,10.461538462,25.410256410,6.564102564,8,2.564102564
2017,2,NY Islanders Islanders (NYI),32.947368421,14.868421053,3.026315789,8.578947368,20.868421053,10.157894737,7.842105263,2.631578947
2009,12,Carolina Hurricanes (CAR),30.487179487,15.615384615,4.282051282,12.564102564,21.230769231,6.461538462,7.384615385,2.512820513
2010,8,Montreal Canadiens (MTL),29.461538462,14.897435897,4.205128205,11.128205128,24.230769231,7.717948718,6.769230769,2.307692308
2008,19,St Louis Blues (STL),30.432432432,11.864864865,4.540540541,16.918918919,19.756756757,7.351351351,5.432432432,2.432432432
2011,15,Washington Capitals (WSH),29.5,14.055555556,3.583333333,9.472222222,22.194444444,8.138888889,7.527777778,2.527777778
2015,18,Nashville Predators (NSH),26.729729730,14.756756757,3,10.972972973,19.594594595,7.108108108,6.216216216,2.378378378
2006,25,Dallas Stars (DAL),25.641025641,13.435897436,5.384615385,15.128205128,22.538461538,11.256410256,7.358974359,2.435897436
2009,10,Toronto Maple Leafs (TOR),29.560975610,17.487804878,3.487804878,12.439024390,23.292682927,11.585365854,8,2.219512195
2013,29,Columbus Blue Jackets (CBJ),30.410256410,13.641025641,3.461538462,11.128205128,22.743589744,5.948717949,4.871794872,2.769230769
2006,5,Pittsburgh Penguins (PIT),31.216216216,13.108108108,5.837837838,17.702702703,18.891891892,7.783783784,4.459459459,2.216216216
2018,13,Florida Panthers (FLA),30.972972973,13.972972973,3.054054054,9.783783784,19.324324324,11.837837838,8.891891892,2.702702703
2006,10,Toronto Maple Leafs (TOR),29,16,5.45,14.4,19.175,12.35,7.55,1.925
2009,9,Ottawa Senators (OTT),27.725,13.125,4.1,12.775,24.575,9.175,7.1,2.4
2010,20,Calgary Flames (CGY),28.405405405,13.972972973,4.027027027,13.432432432,19.432432432,9.540540541,7.864864865,2.540540541
