Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2014,20,Calgary Flames (CGY),27.166666667,16.333333333,2.611111111,11.388888889,17.888888889,8.333333333,7.444444444,2.611111111
2013,9,Ottawa Senators (OTT),34.6,15.72,4.04,11.08,25.44,8.8,8.08,2.68
2006,1,New Jersey Devils (NJD),29.625,14.875,4.1875,13.625,17.6875,8.4375,7.6875,2.25
2005,24,Anaheim Ducks (ANA),30.619047619,11.857142857,6.571428571,15.619047619,12.142857143,6.952380952,7.380952381,2.380952381
2011,2,NY Islanders Islanders (NYI),31.347826087,15.347826087,3.391304348,11.347826087,20.478260870,7.913043478,10.391304348,2.565217391
2018,53,Arizona Coyotes (ARI),28.909090909,16.5,2.727272727,7.863636364,24.590909091,10.454545455,5.636363636,2.681818182
2013,30,Minnesota Wild (MIN),28.227272727,14.409090909,3.227272727,10.818181818,22.090909091,6.727272727,5.681818182,2.545454545
2017,15,Washington Capitals (WSH),32,16.3125,3.8125,7.75,19.25,8.375,8.625,2.5
2003,23,Vancouver Canucks (VAN),28.818181818,15,4,17.909090909,17.636363636,10.818181818,8.090909091,2.545454545
2003,16,Chicago Blackhawks (CHI),28.954545455,11.045454545,4.409090909,14.818181818,17.409090909,8.090909091,5.772727273,2.5
2003,26,Los Angeles Kings (LAK),23.6875,13.0625,4.0625,16.25,18.1875,11.125,6.3125,2.5
2003,20,Calgary Flames (CGY),23.307692308,14.230769231,4.923076923,14.538461538,17.769230769,12.692307692,7.076923077,2.692307692
2003,21,Colorado Avalanche (COL),26.818181818,12.727272727,4.545454545,14.272727273,10.454545455,6.181818182,13.090909091,2.818181818
2014,17,Detroit Red Wings (DET),29.111111111,15.722222222,3.333333333,8.166666667,23.777777778,6.055555556,5.388888889,2.333333333
2017,53,Arizona Coyotes (ARI),32.84375,16.15625,2.6875,9.125,19.71875,7.875,7.03125,2.65625
2018,25,Dallas Stars (DAL),30.526315789,11.842105263,3.105263158,5.578947368,20.368421053,10.315789474,7.947368421,2.578947368
2015,4,Philadelphia Flyers (PHI),34.619047619,17.190476190,3.523809524,11.761904762,27.761904762,9.047619048,7,2.428571429
2006,6,Boston Bruins (BOS),34.823529412,11.823529412,5.588235294,14.529411765,17.235294118,8,6.529411765,1.882352941
2003,24,Anaheim Ducks (ANA),30.4,9.85,4.1,11.9,18.65,10.5,10.1,2.3
2005,23,Vancouver Canucks (VAN),31.352941176,14.470588235,6.705882353,18.588235294,15,11.058823529,10.529411765,2.647058824
2010,17,Detroit Red Wings (DET),29.692307692,15.846153846,3.461538462,8.384615385,25.615384615,7.384615385,8.384615385,2.076923077
2016,29,Columbus Blue Jackets (CBJ),29.555555556,17.222222222,2.444444444,5.888888889,17.666666667,7.777777778,5.333333333,2.444444444
