Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2010,14,Tampa Bay Lightning (TBL),5.912909605,4.238218966,1.600781059,4.366062299,5.631755203,5.495452666,4.266145802,0.478713554
2008,9,Ottawa Senators (OTT),5.789227195,5.342186915,1.680677044,5.351699977,9.331903106,5.066014426,2.856222796,0.767296936
2011,20,Calgary Flames (CGY),8.374280353,4.618802154,1.661897940,9.042228971,5.528282261,3.705208689,3.544277749,0.845154255
2011,21,Colorado Avalanche (COL),6.601435251,5.169071314,2.097060042,7.964467875,5.132171206,5.995124725,3.170588522,0.418853908
2005,13,Florida Panthers (FLA),7.239475119,3.865229618,2.450850193,6.153048025,8.465616733,7.230260484,2.973774257,1.013245610
2008,30,Minnesota Wild (MIN),7.155600211,3.807886553,1.308594017,6.507913735,5.876729338,4.750300988,3.199264621,0.783823376
2008,15,Washington Capitals (WSH),5.449064846,3.406522509,2.023216892,10.253919111,7.946247992,7.303845141,3.490174592,0.699293207
2010,29,Columbus Blue Jackets (CBJ),5.863646727,5.043924709,1.381483526,14.571886264,5.233439489,4.680651315,3.967597518,0.548318881
2014,10,Toronto Maple Leafs (TOR),4.639979716,3.944467458,1.003669737,4.115966043,9.151100866,4.156851184,3.274230938,0.701888210
2011,5,Pittsburgh Penguins (PIT),6.569201760,6.043956632,1.853057886,6.910669500,7.972378787,5.636018620,5.397439480,0.469668218
2010,7,Buffalo Sabres (BUF),5.181761221,2.982270845,1.245772071,7.243447554,7.506562785,3.865991134,4.566014110,0.852802865
2015,13,Florida Panthers (FLA),6.708203932,3.785388575,1.842778699,5.498105734,7.301826256,3.881580434,2.337199179,0.774596669
2005,15,Washington Capitals (WSH),6.933050820,3.787852437,2.579946992,7.458713768,4.867412003,5.581944354,3.342740349,0.902346524
2006,28,San Jose Sharks (SJS),8.275808782,4.410277707,1.683794772,10.542691860,8.428105780,7.449832213,3.683196175,0.633323694
2015,2,NY Islanders Islanders (NYI),5.677613417,4.450710452,1.578811914,3.874881402,8.128110264,3.907007280,3.822341444,0.685994341
2003,3,NY Rangers Rangers (NYR),6.011100842,5.755794182,2.358495283,9.105858920,6.531653696,5.686240703,5.327601086,0.727438428
2014,9,Ottawa Senators (OTT),6.500915686,4.060846733,1.249761882,7.246674114,6.957010852,4.237586914,3.203420791,0.436435780
2013,21,Colorado Avalanche (COL),6.281492088,4.738896797,1.772810521,7.863114614,7.689200838,5.637459745,5.152900247,0.351865775
2013,20,Calgary Flames (CGY),6.140575434,3.564641169,1.552417470,5.933520596,9.117382665,5.828664799,2.669581740,0.583095189
2015,1,New Jersey Devils (NJD),6.158244604,5.924475943,1.641921567,3.902316001,11.437600861,4.594682917,4.045790535,0.477566933
2014,30,Minnesota Wild (MIN),7.275563451,4.538236247,1.576481563,6.900554112,7.482332131,5.384482060,3.038962671,0.469668218
2009,3,NY Rangers Rangers (NYR),4.175324339,5.641681614,1.719634513,11.191833758,7.545418036,5.132993186,2.756809750,0.864649668
2003,4,Philadelphia Flyers (PHI),2.806737925,3.743141877,2.097617696,10.013324456,11.413442367,4.571651780,3.765338999,1.269295518
2015,16,Chicago Blackhawks (CHI),4.879428607,3.607590038,1.622452755,3.766141730,10.234744745,4.762753776,3.552132748,0.606339063
