team_id,team,game_id,type,season,date_time_GMT,HoA,won,goals,shots,hits,pim,powerPlayOpportunities,injured_player_count,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked
27,Phoenix Coyotes (PHX),2011020276,R,2011,November,away,True,4,29,24,7,2,2,0,46.3,9,1,17
11,Atlanta Thrashers (ATL),2003020354,R,2003,December,away,False,3,27,16,8,4,3,2,,0,1,11
23,Vancouver Canucks (VAN),2011020243,R,2011,November,home,True,4,36,22,0,3,3,1,53.3,6,7,21
22,Edmonton Oilers (EDM),2013020132,R,2013,October,away,True,4,32,32,10,1,2,0,33.9,8,3,30
29,Columbus Blue Jackets (CBJ),2001020304,R,2001,November,away,False,2,18,,12,4,,1,,,,
19,St Louis Blues (STL),2013020494,R,2013,December,away,True,4,31,23,26,3,3,1,41.3,4,4,15
16,Chicago Blackhawks (CHI),2007020011,R,2007,October,away,False,0,27,7,17,4,,0,,3,2,13
24,Anaheim Ducks (ANA),2014020201,R,2014,November,home,False,2,39,42,6,4,3,1,46,14,7,17
11,Atlanta Thrashers (ATL),2000020525,R,2000,December,home,True,5,14,,12,2,,1,,,,
30,Minnesota Wild (MIN),2005020182,R,2005,November,away,False,0,23,22,23,4,3,0,,24,22,9
7,Buffalo Sabres (BUF),2013020439,R,2013,December,away,False,2,25,46,2,1,3,0,53.7,4,5,12
22,Edmonton Oilers (EDM),2005020183,R,2005,November,home,True,5,35,6,10,6,3,2,,24,14,13
28,San Jose Sharks (SJS),2003020096,R,2003,October,home,False,3,37,14,18,5,2,2,,9,0,4
28,San Jose Sharks (SJS),2009020145,R,2009,October,away,True,4,28,15,17,4,2,1,,9,7,21
