team_id,team,game_id,type,season,date_time_GMT,HoA,won,goals,shots,hits,pim,powerPlayOpportunities,injured_player_count,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked
10,Toronto Maple Leafs (TOR),2009020075,R,2009,October,home,False,1,31,21,22,3,4,1,,7,4,13
9,Ottawa Senators (OTT),2002020376,R,2002,December,away,False,0,28,5,6,5,,0,,0,0,0
30,Minnesota Wild (MIN),2016020408,R,2016,December,home,True,2,36,12,6,4,1,0,55.6,3,8,22
10,Toronto Maple Leafs (TOR),2008020153,R,2008,November,home,True,5,35,22,4,5,3,0,,14,8,15
5,Pittsburgh Penguins (PIT),2000020524,R,2000,December,away,True,5,34,,14,4,,1,,,,
52,Winnipeg Jets (WPG),2014020520,R,2014,December,away,True,4,23,19,15,3,3,0,49.2,4,3,14
20,Calgary Flames (CGY),2009020337,R,2009,November,away,False,2,43,27,13,4,3,0,,7,5,4
3,NY Rangers Rangers (NYR),2017020082,R,2017,October,home,False,4,32,25,10,6,3,2,50.8,23,5,11
10,Toronto Maple Leafs (TOR),2017020402,R,2017,December,away,False,1,36,15,2,2,3,0,58.6,8,6,10
13,Florida Panthers (FLA),2003020365,R,2003,December,home,False,0,30,19,4,1,1,0,,10,12,10
18,Nashville Predators (NSH),2006020200,R,2006,November,away,True,4,21,13,12,3,2,1,,2,2,13
22,Edmonton Oilers (EDM),2006020246,R,2006,November,away,False,3,33,7,8,5,2,1,,15,7,16
4,Philadelphia Flyers (PHI),2006020021,R,2006,October,home,False,4,39,14,12,9,3,2,,12,3,15
2,NY Islanders Islanders (NYI),2005020302,R,2005,November,away,True,5,28,3,19,6,1,2,,6,5,19
27,Phoenix Coyotes (PHX),2001020267,R,2001,November,home,False,4,30,,19,3,,1,,,,
7,Buffalo Sabres (BUF),2015020055,R,2015,October,away,False,2,26,29,10,6,2,1,42.6,1,4,5
13,Florida Panthers (FLA),2000020230,R,2000,November,home,False,3,32,,30,6,,0,,,,
28,San Jose Sharks (SJS),2010020273,R,2010,November,away,False,4,39,23,33,5,3,0,63.6,4,5,11
54,Vegas Golden Knights (VGK),2018020513,R,2018,December,away,False,0,28,25,4,1,3,0,36.7,5,4,5
4,Philadelphia Flyers (PHI),2010020191,R,2010,November,away,True,2,26,25,12,2,3,0,31.5,4,13,26
7,Buffalo Sabres (BUF),2014020164,R,2014,November,home,True,2,21,14,10,4,3,0,43.8,5,4,18
20,Calgary Flames (CGY),2018020329,R,2018,November,home,True,6,26,13,12,0,3,0,53.6,14,13,15
12,Carolina Hurricanes (CAR),2002020342,R,2002,November,home,True,6,41,4,14,9,,5,,0,0,0
9,Ottawa Senators (OTT),2006020048,R,2006,October,home,False,0,33,24,10,6,2,0,,9,7,17
29,Columbus Blue Jackets (CBJ),2010020468,R,2010,December,away,False,3,40,32,15,3,3,1,53.3,13,9,13
2,NY Islanders Islanders (NYI),2017020049,R,2017,October,away,False,2,41,21,8,5,3,0,46,14,7,12
5,Pittsburgh Penguins (PIT),2010020546,R,2010,December,away,False,1,38,29,17,2,2,0,47.8,13,12,6
7,Buffalo Sabres (BUF),2005020210,R,2005,November,away,False,2,30,18,19,5,3,1,,15,16,13
