Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2017,13,Florida Panthers (FLA),34.157894737,14.184210526,3.157894737,10.210526316,20.315789474,12.447368421,9.210526316,2.736842105
2008,18,Nashville Predators (NSH),29,12.5,4.25,14.666666667,18.416666667,6.583333333,7.5,2.166666667
2013,30,Minnesota Wild (MIN),27.642857143,13.142857143,3.142857143,9.547619048,17.071428571,5.833333333,6.857142857,2.642857143
2006,16,Chicago Blackhawks (CHI),26.405405405,14.324324324,4.756756757,15.378378378,16.513513514,5.756756757,4.405405405,2
2008,24,Anaheim Ducks (ANA),29.297297297,9.648648649,3.837837838,19.567567568,22.432432432,8.864864865,6.513513514,2.324324324
2010,22,Edmonton Oilers (EDM),26.027777778,14.944444444,3.666666667,14.555555556,21.75,12.944444444,7.861111111,2.888888889
2015,22,Edmonton Oilers (EDM),29.263157895,14.763157895,3,7.578947368,20.315789474,10.263157895,7.052631579,2.631578947
2003,16,Chicago Blackhawks (CHI),28.026315789,11.842105263,4.605263158,15.078947368,15,6.105263158,4.184210526,2.184210526
2010,4,Philadelphia Flyers (PHI),33.108108108,16.729729730,4.135135135,15.216216216,21.864864865,8.108108108,7,2.459459459
2005,4,Philadelphia Flyers (PHI),33.631578947,11.605263158,6.368421053,14.421052632,14.763157895,9.447368421,6.236842105,2.263157895
2009,17,Detroit Red Wings (DET),33.051282051,10.435897436,4.076923077,9.307692308,25.461538462,9.897435897,6.974358974,2.282051282
2014,8,Montreal Canadiens (MTL),27.432432432,17.621621622,2.756756757,10.810810811,18.675675676,9.459459459,5.486486486,2.162162162
2006,26,Los Angeles Kings (LAK),33.15,15.025,5.55,16.15,18,10.975,4.1,2.775
2015,25,Dallas Stars (DAL),32.473684211,14.342105263,3.236842105,8.947368421,17.684210526,10.921052632,7.210526316,2.842105263
2011,14,Tampa Bay Lightning (TBL),28.351351351,15.405405405,3.486486486,11.783783784,20.810810811,6.297297297,7.135135135,2.513513514
2011,24,Anaheim Ducks (ANA),26.25,13.555555556,3.611111111,13.666666667,23.888888889,8.138888889,4.777777778,2.388888889
2008,6,Boston Bruins (BOS),30.054054054,11.837837838,3.783783784,13.756756757,20.729729730,7.243243243,5.864864865,2.027027027
2017,26,Los Angeles Kings (LAK),30.871794872,14,2.897435897,9.358974359,25.153846154,10.717948718,5.051282051,2.435897436
