Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2018,12,Carolina Hurricanes (CAR),37.157894737,12.684210526,3.473684211,7.394736842,27.210526316,11.5,11.736842105,2.394736842
2017,8,Montreal Canadiens (MTL),33.666666667,16.384615385,2.974358974,8.666666667,24.384615385,13.487179487,6.461538462,2.743589744
2010,26,Los Angeles Kings (LAK),29.216216216,13.243243243,3.891891892,13.513513514,25.108108108,10.297297297,5.972972973,2.729729730
2016,12,Carolina Hurricanes (CAR),30,13.514285714,2.828571429,6.171428571,18.6,10.228571429,9.514285714,2.971428571
2013,20,Calgary Flames (CGY),26.743589744,18.179487179,3.179487179,10.897435897,22.076923077,9.974358974,6.948717949,2.794871795
2009,15,Washington Capitals (WSH),32.35,13.7,3.925,10.5,19.775,9.25,8,2.875
2017,16,Chicago Blackhawks (CHI),34.675675676,13.756756757,3.918918919,8.405405405,18.945945946,9.297297297,7.783783784,2.945945946
2011,26,Los Angeles Kings (LAK),31.078947368,12.789473684,3.894736842,11.052631579,26.631578947,10.815789474,4.973684211,3.131578947
2015,14,Tampa Bay Lightning (TBL),28.157894737,12.473684211,3.552631579,9.026315789,19.763157895,7.289473684,5.289473684,2.368421053
2005,30,Minnesota Wild (MIN),26.410256410,12.461538462,5.538461538,14.666666667,9.846153846,9.410256410,6.871794872,2.846153846
2003,21,Colorado Avalanche (COL),30.628571429,13,4.428571429,16,16.8,8.514285714,10.771428571,2.2
2009,6,Boston Bruins (BOS),30.743589744,11.589743590,3.512820513,11.538461538,24.051282051,5.615384615,4.512820513,1.846153846
2006,14,Tampa Bay Lightning (TBL),31.461538462,12.384615385,5.666666667,10.333333333,14.179487179,10.641025641,9.128205128,1.461538462
2005,25,Dallas Stars (DAL),28,12.138888889,6.694444444,19.333333333,19.722222222,13.222222222,7.388888889,1.694444444
2005,19,St Louis Blues (STL),29.055555556,13.75,7.055555556,19.138888889,14.527777778,11.694444444,3.972222222,2.583333333
2010,17,Detroit Red Wings (DET),33.270270270,11.108108108,4.108108108,9.837837838,22.918918919,9.162162162,7,2.567567568
2014,16,Chicago Blackhawks (CHI),35.351351351,12.378378378,3.756756757,7.918918919,15.459459459,8.081081081,7.810810811,2.648648649
2014,12,Carolina Hurricanes (CAR),29.333333333,13.694444444,3.138888889,7.75,22.361111111,7.944444444,8.583333333,2.694444444
2008,22,Edmonton Oilers (EDM),28.342857143,12.685714286,4.571428571,15.457142857,15.342857143,11.142857143,6.457142857,2.685714286
2017,18,Nashville Predators (NSH),30.710526316,14.631578947,3.789473684,14,20.947368421,9.289473684,7.552631579,2.605263158
2011,10,Toronto Maple Leafs (TOR),28.729729730,15.594594595,3.648648649,11.162162162,23.081081081,10.378378378,7.162162162,2.945945946
2015,15,Washington Capitals (WSH),30.297297297,14.918918919,3,8.783783784,24.486486486,8.648648649,7.243243243,2.810810811
2015,3,NY Rangers Rangers (NYR),28,15.368421053,2.789473684,9.131578947,26.236842105,9.684210526,7.421052632,2.5
2015,2,NY Islanders Islanders (NYI),29.131578947,15.631578947,2.763157895,8.552631579,32.947368421,9.368421053,8.315789474,2.789473684
2010,2,NY Islanders Islanders (NYI),28.114285714,16.942857143,4.142857143,16.828571429,23.057142857,9.342857143,8.885714286,2.428571429
2014,15,Washington Capitals (WSH),30.083333333,14.583333333,3.027777778,10.5,28.416666667,7.805555556,7.75,2.527777778
2008,10,Toronto Maple Leafs (TOR),32.594594595,15.513513514,4.378378378,12.108108108,20.216216216,10.162162162,6.891891892,2.216216216
2006,19,St Louis Blues (STL),27.578947368,15.289473684,4.657894737,16.473684211,15.763157895,10.947368421,5.973684211,2.210526316
2006,2,NY Islanders Islanders (NYI),29.108108108,15.540540541,4.459459459,14.810810811,23.594594595,10.135135135,9.270270270,1.324324324
2015,1,New Jersey Devils (NJD),24.921052632,12.342105263,3.315789474,10.526315789,23.026315789,7.184210526,6.210526316,2.605263158
2005,21,Colorado Avalanche (COL),29.076923077,15.948717949,6.179487179,14.923076923,13.179487179,8.487179487,10.512820513,2.743589744
2005,23,Vancouver Canucks (VAN),29.947368421,12.210526316,6.789473684,17.342105263,17.052631579,8.394736842,6.868421053,1.684210526
2005,2,NY Islanders Islanders (NYI),28.783783784,13.891891892,6.270270270,17.405405405,18.621621622,9.351351351,8.108108108,1.648648649
2006,18,Nashville Predators (NSH),27.871794872,12.256410256,5.461538462,14.717948718,14.384615385,8.179487179,6.717948718,2.205128205
2006,9,Ottawa Senators (OTT),31.7,15.5,5.1,14.9,22.3,10.375,8.4,1.525
2011,19,St Louis Blues (STL),30.702702703,13.135135135,3.405405405,11.297297297,22.243243243,5.243243243,5.891891892,2.540540541
2015,28,San Jose Sharks (SJS),30.194444444,16,3.305555556,9.5,23.055555556,10.583333333,6.361111111,2.75
2016,24,Anaheim Ducks (ANA),29.315789474,13.789473684,3.236842105,11.868421053,26.105263158,8.894736842,4.631578947,2.236842105
2011,29,Columbus Blue Jackets (CBJ),31.540540541,11.027027027,4.189189189,11.621621622,25.027027027,5,7.513513514,2.810810811
2016,25,Dallas Stars (DAL),29.540540541,16.324324324,3.648648649,11.837837838,19.432432432,7.837837838,5.216216216,2.810810811
2018,4,Philadelphia Flyers (PHI),31.578947368,14.289473684,2.921052632,10,22.526315789,9.210526316,5.236842105,2.736842105
2016,14,Tampa Bay Lightning (TBL),30,12.243243243,3.594594595,11.054054054,20.486486486,8.297297297,6.891891892,2.216216216
2010,12,Carolina Hurricanes (CAR),30.388888889,14.805555556,4.111111111,10.638888889,24.833333333,7.305555556,8.388888889,1.527777778
2008,30,Minnesota Wild (MIN),27.666666667,12.388888889,4.138888889,11.944444444,18,8.027777778,5.194444444,2.722222222
2016,22,Edmonton Oilers (EDM),31.405405405,14.189189189,3.243243243,9.648648649,25.162162162,10.027027027,6.081081081,2.675675676
2011,18,Nashville Predators (NSH),27.315789474,14.552631579,3.421052632,10.710526316,17.763157895,8.631578947,7.5,2.184210526
2017,25,Dallas Stars (DAL),31.717948718,14.410256410,3.076923077,10.333333333,20.564102564,7.717948718,6.307692308,2.461538462
2010,9,Ottawa Senators (OTT),28.052631579,12.789473684,3.105263158,13.315789474,19.421052632,9.710526316,7.815789474,1.710526316
2013,18,Nashville Predators (NSH),28.9,15.375,3.225,10.675,19.975,7.7,7.15,2.425
2008,28,San Jose Sharks (SJS),34.486486486,11.918918919,4.702702703,12.864864865,23.918918919,10.189189189,7.378378378,2.108108108
2006,29,Columbus Blue Jackets (CBJ),27.447368421,12.184210526,6.131578947,16.289473684,16.5,5.578947368,6.263157895,1.921052632
2017,28,San Jose Sharks (SJS),32.542857143,15.714285714,3.571428571,9.114285714,18.314285714,13.571428571,10.714285714,2.971428571
2005,27,Phoenix Coyotes (PHX),26.666666667,11.974358974,6.589743590,18.641025641,16.256410256,8.256410256,6.487179487,1.794871795
2005,13,Florida Panthers (FLA),31.3,11,5.1,16.125,12.525,8.25,5.25,2.375
2009,20,Calgary Flames (CGY),26.871794872,12.871794872,3.564102564,15.384615385,21.487179487,10.102564103,6.641025641,2.564102564
2011,6,Boston Bruins (BOS),32.764705882,13.794117647,3.647058824,15.735294118,21,7.382352941,5.617647059,2.088235294
2009,13,Florida Panthers (FLA),28.756097561,16.243902439,4,12.804878049,21.121951220,6.097560976,6.195121951,1.512195122
2016,23,Vancouver Canucks (VAN),27.810810811,12.027027027,3.081081081,9.513513514,18.351351351,6.810810811,5.891891892,2.756756757
2018,24,Anaheim Ducks (ANA),27.45,14.75,2.85,9.475,22.325,11.475,6.55,2.675
2010,5,Pittsburgh Penguins (PIT),31.897435897,12.666666667,4.102564103,16.974358974,26.025641026,6.897435897,5.128205128,2.743589744
2015,5,Pittsburgh Penguins (PIT),31.945945946,13.567567568,3.378378378,8.729729730,24.945945946,7.621621622,6.216216216,2.648648649
2016,21,Colorado Avalanche (COL),28.342857143,14.6,3.4,11.428571429,22.828571429,6.4,7.828571429,2.514285714
2009,30,Minnesota Wild (MIN),29,12.275,4.025,11.2,20.475,7.95,5.725,2.275
2016,29,Columbus Blue Jackets (CBJ),30.142857143,14.771428571,2.914285714,9.028571429,19.371428571,6.771428571,6.085714286,2.542857143
2016,53,Arizona Coyotes (ARI),28.583333333,14.777777778,3,11.888888889,27.722222222,7.027777778,5.027777778,2.777777778
2011,9,Ottawa Senators (OTT),31.394736842,14.184210526,3.473684211,14.473684211,23.052631579,9.263157895,8.131578947,1.868421053
2005,1,New Jersey Devils (NJD),30.105263158,11.315789474,6.421052632,12.526315789,13.684210526,12.157894737,7.289473684,2.421052632
2006,11,Atlanta Thrashers (ATL),30.1,15.25,5.425,15.675,18.25,11.1,9.65,2.1
2011,2,NY Islanders Islanders (NYI),29.555555556,16.444444444,3.305555556,10.444444444,21.666666667,8.583333333,11.75,2.805555556
2018,17,Detroit Red Wings (DET),28.675,13.8,2.6,9.025,21.15,13.325,6.225,2.6
2006,22,Edmonton Oilers (EDM),26.351351351,15.513513514,5.243243243,15.648648649,16.135135135,18,10.945945946,2.594594595
2006,28,San Jose Sharks (SJS),27.846153846,12.897435897,5.153846154,12.512820513,18.794871795,11.076923077,6.102564103,2.948717949
2010,24,Anaheim Ducks (ANA),28.425,15.075,3.4,15.65,22.475,6.65,4.9,2.8
2005,15,Washington Capitals (WSH),28.638888889,14.75,6,19.305555556,18.027777778,11.444444444,7.944444444,2.611111111
2016,26,Los Angeles Kings (LAK),30.25,13.972222222,2.888888889,9.638888889,30.638888889,7.944444444,3.722222222,2.694444444
2009,28,San Jose Sharks (SJS),31.075,13.35,3.875,14.375,23.45,8.75,6.975,1.75
2014,26,Los Angeles Kings (LAK),31.631578947,12.236842105,3.447368421,10.473684211,31.894736842,10.315789474,5.078947368,2.868421053
2003,4,Philadelphia Flyers (PHI),31.342105263,11.157894737,3.947368421,15.368421053,14.657894737,10.631578947,5.684210526,2.473684211
2015,9,Ottawa Senators (OTT),27.868421053,14.578947368,3.131578947,12.184210526,27.5,8.868421053,7,1.868421053
2003,26,Los Angeles Kings (LAK),28.675675676,10.351351351,4.918918919,15.054054054,15.351351351,11.270270270,4.729729730,2.729729730
2016,6,Boston Bruins (BOS),33.846153846,13.692307692,3.051282051,9.794871795,21.538461538,7.794871795,7.076923077,2.641025641
2006,4,Philadelphia Flyers (PHI),28.459459459,14.243243243,5.162162162,16.405405405,15.405405405,12.891891892,6.567567568,2.405405405
2013,15,Washington Capitals (WSH),30.375,14.55,3.675,13.475,24.025,7.85,7.525,2.825
2018,25,Dallas Stars (DAL),29.692307692,15.564102564,2.564102564,8.435897436,22.487179487,11.205128205,6.923076923,2.820512821
2013,22,Edmonton Oilers (EDM),27.926829268,15.073170732,3.682926829,11.829268293,23.292682927,11.390243902,6.780487805,2.756097561
2014,4,Philadelphia Flyers (PHI),29.5,14.527777778,3.277777778,9.083333333,26.055555556,7.722222222,5.194444444,2.805555556
2013,9,Ottawa Senators (OTT),33.214285714,12.071428571,3.666666667,13,31.476190476,9.642857143,7.047619048,2.595238095
2010,10,Toronto Maple Leafs (TOR),28.805555556,15.805555556,4.166666667,11.055555556,23.527777778,11.694444444,6.694444444,2.305555556
2015,12,Carolina Hurricanes (CAR),29.815789474,11.552631579,3.078947368,6.157894737,19.263157895,8.236842105,8.736842105,2.368421053
2005,22,Edmonton Oilers (EDM),29.615384615,15.435897436,6.256410256,15.769230769,12.666666667,16.282051282,8.487179487,2.615384615
2003,13,Florida Panthers (FLA),27.923076923,11.846153846,3.410256410,14.974358974,17.948717949,8.564102564,5.974358974,2.051282051
2003,2,NY Islanders Islanders (NYI),27.864864865,12.864864865,3.945945946,14.702702703,20.243243243,9.486486486,7.567567568,2.540540541
2010,3,NY Rangers Rangers (NYR),28.105263158,15.973684211,3.657894737,15.184210526,28.921052632,5.105263158,6.947368421,2.078947368
2011,5,Pittsburgh Penguins (PIT),33.736842105,12.921052632,4.131578947,10.684210526,22.552631579,6.394736842,6,2.657894737
2005,17,Detroit Red Wings (DET),32.081081081,12.243243243,5.756756757,14.270270270,14.432432432,11.486486486,7.675675676,1.648648649
2003,19,St Louis Blues (STL),27.257142857,11.771428571,4.314285714,17.4,16.914285714,10.028571429,4.4,2.457142857
2016,1,New Jersey Devils (NJD),27.783783784,12.891891892,3.459459459,9.378378378,20.918918919,8.675675676,5.378378378,2.729729730
2009,25,Dallas Stars (DAL),32.076923077,13.512820513,4.358974359,10.589743590,27.897435897,9,8.179487179,2.743589744
2017,29,Columbus Blue Jackets (CBJ),33.675,14.825,2.975,7.5,22.125,6.125,7.65,2.475
2018,9,Ottawa Senators (OTT),29.153846154,17.461538462,3.051282051,9.794871795,20.410256410,11.948717949,7.384615385,2.051282051
2005,14,Tampa Bay Lightning (TBL),31.487179487,12.897435897,6.153846154,11.923076923,10.333333333,8.128205128,7.974358974,1.564102564
2016,10,Toronto Maple Leafs (TOR),34,15.457142857,3.142857143,11.057142857,24.828571429,9.8,8.857142857,3.028571429
2003,5,Pittsburgh Penguins (PIT),22.540540541,14.432432432,4.648648649,16.324324324,13.810810811,6.972972973,4.459459459,2.540540541
2015,30,Minnesota Wild (MIN),28.314285714,14.542857143,3.114285714,7.228571429,17.057142857,7.314285714,6.857142857,2.314285714
2005,16,Chicago Blackhawks (CHI),30.594594595,11.486486486,5.837837838,22.216216216,16.459459459,6.054054054,5.621621622,2.054054054
2011,20,Calgary Flames (CGY),28.564102564,13.769230769,3.358974359,11.205128205,18.820512821,9.410256410,8.230769231,2.871794872
2016,20,Calgary Flames (CGY),28.368421053,13.763157895,3.263157895,12.236842105,19.473684211,9.684210526,7.526315789,2.842105263
2013,12,Carolina Hurricanes (CAR),29.717948718,13.384615385,3.512820513,8.692307692,23.794871795,8.589743590,10.461538462,2.846153846
2015,29,Columbus Blue Jackets (CBJ),28.820512821,14.230769231,3.102564103,13.487179487,27.538461538,5.051282051,5.076923077,2.461538462
2018,13,Florida Panthers (FLA),34.324324324,13.756756757,3.702702703,8.594594595,21.297297297,13.891891892,9.108108108,2.756756757
2010,27,Phoenix Coyotes (PHX),31.333333333,12.138888889,3.777777778,12.111111111,21.222222222,6.666666667,5.5,2.75
2015,20,Calgary Flames (CGY),29.083333333,16.777777778,3.083333333,8.138888889,20.638888889,9.027777778,7.222222222,2.694444444
2008,16,Chicago Blackhawks (CHI),31.647058824,11.264705882,4.529411765,15.794117647,18.264705882,5.088235294,6.117647059,1.941176471
2018,3,NY Rangers Rangers (NYR),28.405405405,15.972972973,2.918918919,9.405405405,25.918918919,13.648648649,8.270270270,2.432432432
2010,16,Chicago Blackhawks (CHI),31.897435897,14.358974359,3.564102564,10.410256410,23.230769231,7.769230769,10.615384615,2.025641026
2018,22,Edmonton Oilers (EDM),30.157894737,14.315789474,3.052631579,9.894736842,26.447368421,12.263157895,8.921052632,2.921052632
2006,17,Detroit Red Wings (DET),32.405405405,10.783783784,5.108108108,12.810810811,15.675675676,13.270270270,7.567567568,2.054054054
2010,25,Dallas Stars (DAL),27.315789474,14.578947368,4,14.736842105,27.578947368,9.052631579,8.157894737,2.342105263
2013,28,San Jose Sharks (SJS),36,16.666666667,4.025641026,8.564102564,18.102564103,9.897435897,7.538461538,2.769230769
2013,23,Vancouver Canucks (VAN),32.121951220,15.146341463,3.146341463,11.390243902,18.756097561,6.439024390,6.341463415,2.634146341
2016,52,Winnipeg Jets (WPG),28.131578947,14.131578947,3.236842105,10.342105263,23.710526316,9.973684211,7.631578947,2.842105263
2014,7,Buffalo Sabres (BUF),23.184210526,18.263157895,2.815789474,13.236842105,27.210526316,6.710526316,4.315789474,2.868421053
2013,24,Anaheim Ducks (ANA),31.804878049,15.073170732,3.195121951,9.682926829,22.365853659,7.365853659,5.756097561,2.707317073
2009,4,Philadelphia Flyers (PHI),31.974358974,14.871794872,3.974358974,17.461538462,19.307692308,8.410256410,7.230769231,2.435897436
2009,8,Montreal Canadiens (MTL),27.255813953,17,2.953488372,12.534883721,18.883720930,12.976744186,6.953488372,2.279069767
2008,29,Columbus Blue Jackets (CBJ),30.277777778,12.361111111,4.472222222,15.777777778,24.5,5.638888889,6.666666667,2.833333333
2018,30,Minnesota Wild (MIN),31.973684211,15.263157895,2.947368421,8.605263158,19.605263158,6.078947368,6.868421053,2.368421053
2017,54,Vegas Golden Knights (VGK),32.297297297,16.162162162,3.405405405,7.216216216,19.162162162,9.972972973,11.918918919,2.648648649
2014,52,Winnipeg Jets (WPG),29.921052632,14.184210526,3.289473684,14.131578947,28.157894737,9.289473684,6.631578947,2.684210526
2010,11,Atlanta Thrashers (ATL),30.829268293,16.634146341,3.731707317,11.658536585,17.780487805,7.756097561,10.024390244,2.634146341
2008,4,Philadelphia Flyers (PHI),28.243243243,15.054054054,3.837837838,18.621621622,19.864864865,9.945945946,6.540540541,2.189189189
2008,2,NY Islanders Islanders (NYI),29.184210526,17.052631579,4.421052632,15.921052632,20.789473684,8.921052632,9.052631579,2.184210526
2015,23,Vancouver Canucks (VAN),29.289473684,13.421052632,3.368421053,12.052631579,19.315789474,7.763157895,4.973684211,2.421052632
2015,16,Chicago Blackhawks (CHI),30.5,13.421052632,3.052631579,7.368421053,18.131578947,8.131578947,6.157894737,2.5
2006,23,Vancouver Canucks (VAN),30.384615385,10.384615385,5.333333333,15.538461538,15.512820513,6.846153846,6.743589744,1.820512821
2006,7,Buffalo Sabres (BUF),29.578947368,16.710526316,5.631578947,14.631578947,15.157894737,13,6.921052632,1.815789474
2017,17,Detroit Red Wings (DET),30.783783784,13.108108108,3.189189189,9.594594595,20.135135135,11,6.432432432,2.621621622
2009,10,Toronto Maple Leafs (TOR),33.804878049,15.048780488,3.585365854,12.731707317,21.195121951,9.829268293,6.609756098,2.658536585
2015,21,Colorado Avalanche (COL),28.135135135,17.243243243,3.459459459,9.432432432,23.675675676,7.027027027,5.945945946,2.270270270
2005,20,Calgary Flames (CGY),28.368421053,11.815789474,6.026315789,17.657894737,20.605263158,11.526315789,8.710526316,2.421052632
2016,8,Montreal Canadiens (MTL),30.527777778,15,3.166666667,10.333333333,21.833333333,11.694444444,7.138888889,2.083333333
2006,12,Carolina Hurricanes (CAR),30.525,14.125,5.825,13.475,21.375,8.25,6.325,2.2
2014,9,Ottawa Senators (OTT),29.361111111,12.222222222,3.527777778,12.472222222,27.916666667,8.055555556,7.416666667,2.638888889
2015,4,Philadelphia Flyers (PHI),30.055555556,14.833333333,2.944444444,13.222222222,30.333333333,8.083333333,4.805555556,2.777777778
2005,29,Columbus Blue Jackets (CBJ),28,10.710526316,5.921052632,18.052631579,14.105263158,6.605263158,7.368421053,1.868421053
2014,25,Dallas Stars (DAL),29.942857143,15.2,3.514285714,10.771428571,19.742857143,9.914285714,7.8,2.428571429
2016,16,Chicago Blackhawks (CHI),28.948717949,13.307692308,3.102564103,6.461538462,14.923076923,9.384615385,6.871794872,2.948717949
2013,2,NY Islanders Islanders (NYI),29.3,16.325,3.15,11.925,23.975,9.225,7.975,2.925
2018,29,Columbus Blue Jackets (CBJ),32,13.894736842,3.131578947,7.131578947,18.736842105,7.236842105,6.894736842,2.5
2005,18,Nashville Predators (NSH),28.833333333,12.638888889,6.805555556,19.861111111,12.861111111,7.111111111,6.361111111,1.944444444
2010,20,Calgary Flames (CGY),30.513513514,13.810810811,4.162162162,13.378378378,20.675675676,8.972972973,6.594594595,2.918918919
2018,20,Calgary Flames (CGY),32.179487179,12.153846154,3.538461538,8.692307692,14.692307692,12.923076923,9.435897436,2.794871795
2013,26,Los Angeles Kings (LAK),30.975,11.25,3.325,11.95,32.85,10.2,4.05,3
2018,1,New Jersey Devils (NJD),32.973684211,13.605263158,3.236842105,8.815789474,21.394736842,9.157894737,8.315789474,2.973684211
2003,25,Dallas Stars (DAL),25.184210526,10.815789474,4.184210526,15.5,17.315789474,19,9.394736842,2.684210526
2018,7,Buffalo Sabres (BUF),32.1,12.85,3.125,7.825,17.9,9.125,5.95,2.85
2005,26,Los Angeles Kings (LAK),29.575,12.55,6.85,18.85,17.7,10.3,5.325,2.55
2014,20,Calgary Flames (CGY),27.184210526,18.657894737,3.342105263,8.447368421,22.236842105,10.421052632,8.289473684,2.973684211
2017,53,Arizona Coyotes (ARI),30.048780488,14.097560976,3.219512195,7.707317073,23.951219512,8.146341463,5.121951220,2.780487805
2014,29,Columbus Blue Jackets (CBJ),27.823529412,13.5,3.558823529,12.176470588,31.617647059,6.558823529,6.235294118,2.823529412
2013,10,Toronto Maple Leafs (TOR),27.365853659,15.634146341,3.170731707,13.853658537,33.804878049,11.951219512,7.146341463,2.585365854
2006,30,Minnesota Wild (MIN),29.615384615,12.512820513,5.051282051,11.692307692,12.384615385,8.743589744,6.384615385,2.256410256
2008,12,Carolina Hurricanes (CAR),31.351351351,15.054054054,4.837837838,10.540540541,21,6.864864865,8.054054054,2.486486486
2014,1,New Jersey Devils (NJD),25.763157895,12.342105263,2.947368421,9.236842105,18.5,8.394736842,5.473684211,2.710526316
2011,52,Winnipeg Jets (WPG),30.054054054,14.081081081,3.243243243,12.297297297,23.567567568,7.135135135,5.621621622,2.540540541
2008,15,Washington Capitals (WSH),31.631578947,12.947368421,4.131578947,12.605263158,20.578947368,11.815789474,8.947368421,2.684210526
2016,15,Washington Capitals (WSH),30.657142857,12.085714286,3.2,8.485714286,20.428571429,11.142857143,8.285714286,2.285714286
2014,18,Nashville Predators (NSH),32.777777778,14.638888889,3.333333333,8.055555556,18.777777778,7.888888889,6.027777778,2.722222222
2003,7,Buffalo Sabres (BUF),27.135135135,11.486486486,4.054054054,15.297297297,14.324324324,10.756756757,4.972972973,2.945945946
2017,9,Ottawa Senators (OTT),30.243243243,15.918918919,3.405405405,8.945945946,23.081081081,10,7.216216216,1.621621622
2014,21,Colorado Avalanche (COL),28.722222222,15.777777778,3.25,10.861111111,24.722222222,6.888888889,9.305555556,2.416666667
2014,14,Tampa Bay Lightning (TBL),29.641025641,13.589743590,3.512820513,9.871794872,20.461538462,7.641025641,6.692307692,2.717948718
2013,16,Chicago Blackhawks (CHI),33.166666667,12.619047619,3.333333333,8.785714286,17.738095238,7.309523810,8.523809524,2.619047619
2018,8,Montreal Canadiens (MTL),34.333333333,14.230769231,3.384615385,9.025641026,27.487179487,10.897435897,7.307692308,2.974358974
2013,13,Florida Panthers (FLA),29.024390244,12.682926829,3.365853659,11.170731707,22.243902439,5.926829268,6.512195122,2.780487805
2014,6,Boston Bruins (BOS),30.486486486,12.486486486,2.324324324,10.135135135,24.567567568,6.918918919,5.702702703,2.270270270
2008,1,New Jersey Devils (NJD),31.285714286,11.742857143,3.571428571,13.771428571,16.828571429,6.171428571,4.657142857,2.257142857
2013,5,Pittsburgh Penguins (PIT),30.404761905,15.880952381,3.357142857,10.357142857,25.880952381,7.166666667,5,2.547619048
2005,24,Anaheim Ducks (ANA),32.052631579,7.421052632,6,18.894736842,14.394736842,6.578947368,6.763157895,2.473684211
2011,1,New Jersey Devils (NJD),27.486486486,11.216216216,3.594594595,12.486486486,20.108108108,7.378378378,5.270270270,2.621621622
