team_id,team,season,total_first_half_season_wins,total_first_half_season_shots,total_first_half_season_goals,total_first_half_season_pim,total_first_half_season_powerPlayOpportunities,end_season_playoff_standing
8,Montreal Canadiens (MTL),2018,28,1684,152,467,161,0.0
26,Los Angeles Kings (LAK),2018,20,1412,113,384,137,0.0
4,Philadelphia Flyers (PHI),2018,21,1544,141,488,147,0.0
10,Toronto Maple Leafs (TOR),2018,30,1538,174,319,122,7.0
24,Anaheim Ducks (ANA),2018,21,1382,117,442,138,0.0
52,Winnipeg Jets (WPG),2018,32,1594,170,479,155,10.0
25,Dallas Stars (DAL),2018,25,1509,127,402,132,14.0
7,Buffalo Sabres (BUF),2018,25,1617,142,373,150,0.0
5,Pittsburgh Penguins (PIT),2018,27,1633,175,382,144,9.0
54,Vegas Golden Knights (VGK),2018,29,1750,156,371,162,15.0
12,Carolina Hurricanes (CAR),2018,24,1788,139,385,167,11.0
3,NY Rangers Rangers (NYR),2018,21,1383,134,488,138,0.0
21,Colorado Avalanche (COL),2018,22,1617,169,498,187,16.0
53,Arizona Coyotes (ARI),2018,23,1532,130,389,159,0.0
14,Tampa Bay Lightning (TBL),2018,37,1644,198,431,168,1.0
17,Detroit Red Wings (DET),2018,19,1491,143,434,136,0.0
19,St Louis Blues (STL),2018,22,1525,139,431,144,12.0
2,NY Islanders Islanders (NYI),2018,29,1384,145,422,144,5.0
1,New Jersey Devils (NJD),2018,19,1587,145,438,158,0.0
29,Columbus Blue Jackets (CBJ),2018,28,1565,158,330,146,13.0
23,Vancouver Canucks (VAN),2018,23,1470,146,511,161,0.0
20,Calgary Flames (CGY),2018,33,1623,190,464,178,2.0
15,Washington Capitals (WSH),2018,27,1498,168,470,147,4.0
9,Ottawa Senators (OTT),2018,19,1452,156,449,143,0.0
18,Nashville Predators (NSH),2018,30,1686,160,443,175,8.0
13,Florida Panthers (FLA),2018,20,1625,150,438,168,0.0
28,San Jose Sharks (SJS),2018,29,1791,187,442,154,6.0
22,Edmonton Oilers (EDM),2018,23,1439,141,478,147,0.0
6,Boston Bruins (BOS),2018,27,1663,145,499,161,3.0
30,Minnesota Wild (MIN),2018,26,1562,141,430,148,0.0
16,Chicago Blackhawks (CHI),2018,18,1599,155,409,153,0.0
prob_no_playoffs,prob_playoffs
0.18750265810878908,0.8124973418912109
0.9106218222020274,0.08937817779797261
0.6646430512911607,0.33535694870883925
0.017766587959111346,0.9822334120408887
0.8197218810752049,0.18027811892479503
0.037905435342705074,0.9620945646572949
0.5372571454459453,0.46274285455405473
0.4505669787061134,0.5494330212938866
0.07547867524323548,0.9245213247567645
0.3723125497899311,0.6276874502100689
0.791016568165336,0.2089834318346639
0.547366233280931,0.452633766719069
0.5588398206013223,0.44116017939867774
0.8630722741923349,0.13692772580766516
0.0012113331568698316,0.9987886668431302
0.7926321467829474,0.20736785321705262
0.6749377656450188,0.32506223435498116
0.045584321216291634,0.9544156787837084
0.8285211961625267,0.17147880383747327
0.1518394407653022,0.8481605592346978
0.4970224156808444,0.5029775843191556
0.008357690825486763,0.9916423091745132
0.06637232657448866,0.9336276734255113
0.6155157942055423,0.3844842057944577
0.10917839194521062,0.8908216080547894
0.8238216517622121,0.17617834823778789
0.07037710371195405,0.929622896288046
0.48477275956213783,0.5152272404378622
0.2743110540244579,0.7256889459755421
0.4110954127070948,0.5889045872929052
0.8645822117178734,0.13541778828212664
