Season,team_id,Team,Total Wins,Total Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2017,30,Minnesota Wild (MIN),20,1134,636,108,23,120,373,685,248,236,97,8
2010,21,Colorado Avalanche (COL),20,1131,576,126,29,127,485,774,284,293,94,
2013,52,Winnipeg Jets (WPG),18,1293,624,106,20,134,481,1079,348,266,110,
2014,28,San Jose Sharks (SJS),19,1161,556,99,26,110,377,871,387,270,105,
2016,28,San Jose Sharks (SJS),23,1111,575,90,20,119,287,718,498,274,99,11
2008,11,Atlanta Thrashers (ATL),12,1007,472,108,33,155,534,581,287,304,83,
2017,4,Philadelphia Flyers (PHI),16,1222,571,106,26,133,331,772,370,205,96,13
2015,52,Winnipeg Jets (WPG),17,1064,477,97,16,112,446,923,333,236,106,
2006,15,Washington Capitals (WSH),16,1098,542,118,36,215,699,699,486,347,112,
2009,27,Phoenix Coyotes (PHX),25,1216,480,104,26,152,512,872,188,182,86,4
2017,10,Toronto Maple Leafs (TOR),23,1231,560,133,25,113,318,830,452,328,119,7
2003,24,Anaheim Ducks (ANA),12,1055,332,74,22,142,514,492,376,348,84,
2011,16,Chicago Blackhawks (CHI),24,1233,501,121,26,140,390,674,273,373,108,10
2015,7,Buffalo Sabres (BUF),15,1129,492,87,23,119,255,900,244,188,78,
2010,23,Vancouver Canucks (VAN),22,1094,487,120,34,141,403,796,218,272,96,1
2006,21,Colorado Avalanche (COL),18,1256,567,118,37,200,440,381,344,346,87,
2010,14,Tampa Bay Lightning (TBL),22,1231,590,117,39,166,428,643,310,239,77,8
2006,13,Florida Panthers (FLA),15,1292,523,111,35,183,659,867,397,277,99,
2015,6,Boston Bruins (BOS),20,1127,539,113,30,102,481,1000,307,227,108,
2013,3,NY Rangers Rangers (NYR),20,1286,538,93,28,138,450,985,316,264,87,12
2014,24,Anaheim Ducks (ANA),24,1161,572,103,20,125,445,1093,345,232,95,3
2017,24,Anaheim Ducks (ANA),18,1178,619,107,19,111,432,930,417,256,116,9
2010,7,Buffalo Sabres (BUF),15,1228,484,95,23,142,517,686,345,247,112,15
2009,22,Edmonton Oilers (EDM),16,1127,630,109,29,154,580,776,512,239,88,
2009,3,NY Rangers Rangers (NYR),18,1142,582,103,30,143,545,1055,229,275,69,
2017,13,Florida Panthers (FLA),17,1298,539,106,19,120,388,772,473,350,104,
2008,18,Nashville Predators (NSH),17,1044,450,88,21,153,528,663,237,270,78,
2013,30,Minnesota Wild (MIN),20,1161,552,92,25,132,401,717,245,288,111,11
2006,16,Chicago Blackhawks (CHI),16,977,530,94,21,176,569,611,213,163,74,
2008,24,Anaheim Ducks (ANA),19,1084,357,104,29,142,724,830,328,241,86,16
2010,22,Edmonton Oilers (EDM),12,937,538,93,20,132,524,783,466,283,104,
2015,22,Edmonton Oilers (EDM),15,1112,561,95,19,114,288,772,390,268,100,
2003,16,Chicago Blackhawks (CHI),9,1065,450,70,19,175,573,570,232,159,83,
2010,4,Philadelphia Flyers (PHI),23,1225,619,125,27,153,563,809,300,259,91,3
2005,4,Philadelphia Flyers (PHI),24,1278,441,141,44,242,548,561,359,237,86,9
2009,17,Detroit Red Wings (DET),19,1289,407,97,28,159,363,993,386,272,89,7
2014,8,Montreal Canadiens (MTL),24,1015,652,95,15,102,400,691,350,203,80,2
2006,26,Los Angeles Kings (LAK),14,1326,601,113,42,222,646,720,439,164,111,
2015,25,Dallas Stars (DAL),27,1234,545,131,29,123,340,672,415,274,108,2
2011,14,Tampa Bay Lightning (TBL),17,1049,570,102,19,129,436,770,233,264,93,
2011,24,Anaheim Ducks (ANA),10,945,488,84,22,130,492,860,293,172,86,
2008,6,Boston Bruins (BOS),28,1112,438,135,35,140,509,767,268,217,75,2
2017,26,Los Angeles Kings (LAK),23,1204,546,113,18,113,365,981,418,197,95,12
2017,21,Colorado Avalanche (COL),18,1097,564,116,29,152,374,643,237,269,94,16
2013,27,Phoenix Coyotes (PHX),19,1221,530,112,26,130,403,1029,222,252,109,
2003,28,San Jose Sharks (SJS),14,1000,327,93,31,160,569,523,319,147,97,3
2011,21,Colorado Avalanche (COL),20,1234,494,98,24,127,470,847,237,368,111,
2016,2,NY Islanders Islanders (NYI),14,1037,665,97,14,98,329,900,348,254,93,
2008,17,Detroit Red Wings (DET),24,1318,330,128,41,152,381,664,253,213,69,3
2010,30,Minnesota Wild (MIN),17,941,511,92,30,141,418,865,291,236,89,
2016,19,St Louis Blues (STL),19,1049,498,103,25,116,365,722,190,242,101,10
2010,18,Nashville Predators (NSH),18,1089,429,87,18,132,356,772,295,283,87,10
2011,7,Buffalo Sabres (BUF),17,1075,466,96,26,137,461,654,309,232,104,
2011,12,Carolina Hurricanes (CAR),13,1199,604,103,23,168,397,805,297,271,97,
2005,10,Toronto Maple Leafs (TOR),21,1061,534,123,51,246,660,795,400,220,81,
2018,54,Vegas Golden Knights (VGK),23,1370,564,127,26,128,316,1132,396,439,118,15
2010,6,Boston Bruins (BOS),20,1195,540,101,23,127,499,812,213,181,83,7
2003,18,Nashville Predators (NSH),16,945,368,88,26,189,624,480,350,219,63,16
2013,19,St Louis Blues (STL),27,1146,545,135,32,139,529,823,159,272,98,4
2018,23,Vancouver Canucks (VAN),19,1190,625,123,24,135,417,909,311,261,117,
2003,15,Washington Capitals (WSH),11,933,409,95,35,156,486,465,484,270,100,
2003,9,Ottawa Senators (OTT),18,1080,377,113,35,165,492,904,496,286,106,6
2009,12,Carolina Hurricanes (CAR),10,1190,495,96,26,166,526,1104,270,305,82,
2013,14,Tampa Bay Lightning (TBL),23,1151,475,105,22,135,424,820,291,257,102,8
2005,8,Montreal Canadiens (MTL),18,1124,443,100,41,227,607,685,396,414,80,15
2006,3,NY Rangers Rangers (NYR),19,1204,692,115,39,217,572,854,407,306,100,14
2003,11,Atlanta Thrashers (ATL),19,1038,464,115,29,191,699,635,391,231,104,
2011,3,NY Rangers Rangers (NYR),23,986,578,106,21,138,547,960,224,258,73,2
2006,25,Dallas Stars (DAL),25,1092,509,103,39,225,606,744,356,308,103,6
2014,13,Florida Panthers (FLA),16,1099,421,77,15,109,324,960,167,199,86,
2011,30,Minnesota Wild (MIN),21,1067,648,91,21,138,482,877,286,262,103,
2009,7,Buffalo Sabres (BUF),24,1204,487,105,28,169,471,643,423,226,105,11
2017,52,Winnipeg Jets (WPG),22,1237,588,128,33,142,350,857,387,266,113,2
2013,7,Buffalo Sabres (BUF),11,1033,545,66,15,118,437,993,276,236,111,
2009,21,Colorado Avalanche (COL),23,1062,674,120,28,159,528,737,303,336,120,12
2017,19,St Louis Blues (STL),24,1363,622,117,22,142,341,915,220,319,111,
2018,10,Toronto Maple Leafs (TOR),26,1235,532,144,25,105,263,650,461,362,107,7
2017,15,Washington Capitals (WSH),24,1153,589,120,24,123,413,901,469,285,110,6
2009,2,NY Islanders Islanders (NYI),16,1210,722,97,24,158,478,907,407,462,115,
2008,14,Tampa Bay Lightning (TBL),10,1080,478,83,24,164,551,764,289,231,87,
2006,8,Montreal Canadiens (MTL),22,1126,590,114,39,172,583,818,419,376,94,
2011,27,Phoenix Coyotes (PHX),19,1167,509,100,16,122,332,952,236,228,98,11
2015,53,Arizona Coyotes (ARI),17,968,455,100,22,135,400,791,208,197,103,
