Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2005,1,New Jersey Devils (NJD),16,30.105263158,11.315789474,2.789473684,0.947368421,6.421052632,12.526315789,13.684210526,12.157894737,7.289473684,2.421052632,8
2006,11,Atlanta Thrashers (ATL),23,30.1,15.25,3.075,0.95,5.425,15.675,18.25,11.1,9.65,2.1,12
2011,2,NY Islanders Islanders (NYI),13,29.555555556,16.444444444,2.277777778,0.611111111,3.305555556,10.444444444,21.666666667,8.583333333,11.75,2.805555556,
2018,17,Detroit Red Wings (DET),15,28.675,13.8,2.75,0.475,2.6,9.025,21.15,13.325,6.225,2.6,
2006,22,Edmonton Oilers (EDM),18,26.351351351,15.513513514,2.783783784,0.756756757,5.243243243,15.648648649,16.135135135,18,10.945945946,2.594594595,
2006,28,San Jose Sharks (SJS),25,27.846153846,12.897435897,2.871794872,1.128205128,5.153846154,12.512820513,18.794871795,11.076923077,6.102564103,2.948717949,5
2010,24,Anaheim Ducks (ANA),19,28.425,15.075,2.5,0.7,3.4,15.65,22.475,6.65,4.9,2.8,9
2005,15,Washington Capitals (WSH),13,28.638888889,14.75,2.777777778,0.805555556,6,19.305555556,18.027777778,11.444444444,7.944444444,2.611111111,
2016,26,Los Angeles Kings (LAK),17,30.25,13.972222222,2.444444444,0.444444444,2.888888889,9.638888889,30.638888889,7.944444444,3.722222222,2.694444444,
2014,26,Los Angeles Kings (LAK),18,31.631578947,12.236842105,2.684210526,0.710526316,3.447368421,10.473684211,31.894736842,10.315789474,5.078947368,2.868421053,
2009,28,San Jose Sharks (SJS),25,31.075,13.35,3.275,0.8,3.875,14.375,23.45,8.75,6.975,1.75,2
2003,4,Philadelphia Flyers (PHI),19,31.342105263,11.157894737,2.894736842,0.973684211,3.947368421,15.368421053,14.657894737,10.631578947,5.684210526,2.473684211,8
2003,26,Los Angeles Kings (LAK),16,28.675675676,10.351351351,2.729729730,0.675675676,4.918918919,15.054054054,15.351351351,11.270270270,4.729729730,2.729729730,
2015,9,Ottawa Senators (OTT),18,27.868421053,14.578947368,2.842105263,0.578947368,3.131578947,12.184210526,27.5,8.868421053,7,1.868421053,
2016,6,Boston Bruins (BOS),20,33.846153846,13.692307692,2.384615385,0.435897436,3.051282051,9.794871795,21.538461538,7.794871795,7.076923077,2.641025641,13
2006,4,Philadelphia Flyers (PHI),9,28.459459459,14.243243243,2.351351351,0.729729730,5.162162162,16.405405405,15.405405405,12.891891892,6.567567568,2.405405405,
2013,15,Washington Capitals (WSH),20,30.375,14.55,2.85,0.925,3.675,13.475,24.025,7.85,7.525,2.825,
2018,25,Dallas Stars (DAL),20,29.692307692,15.564102564,2.717948718,0.512820513,2.564102564,8.435897436,22.487179487,11.205128205,6.923076923,2.820512821,14
2013,22,Edmonton Oilers (EDM),13,27.926829268,15.073170732,2.536585366,0.658536585,3.682926829,11.829268293,23.292682927,11.390243902,6.780487805,2.756097561,
2014,4,Philadelphia Flyers (PHI),14,29.5,14.527777778,2.777777778,0.694444444,3.277777778,9.083333333,26.055555556,7.722222222,5.194444444,2.805555556,
2013,9,Ottawa Senators (OTT),17,33.214285714,12.071428571,2.785714286,0.666666667,3.666666667,13,31.476190476,9.642857143,7.047619048,2.595238095,
2010,10,Toronto Maple Leafs (TOR),13,28.805555556,15.805555556,2.277777778,0.722222222,4.166666667,11.055555556,23.527777778,11.694444444,6.694444444,2.305555556,
2015,12,Carolina Hurricanes (CAR),16,29.815789474,11.552631579,2.394736842,0.526315789,3.078947368,6.157894737,19.263157895,8.236842105,8.736842105,2.368421053,
2005,22,Edmonton Oilers (EDM),22,29.615384615,15.435897436,3.205128205,1.153846154,6.256410256,15.769230769,12.666666667,16.282051282,8.487179487,2.615384615,14
2003,13,Florida Panthers (FLA),12,27.923076923,11.846153846,2.153846154,0.589743590,3.410256410,14.974358974,17.948717949,8.564102564,5.974358974,2.051282051,
2003,2,NY Islanders Islanders (NYI),19,27.864864865,12.864864865,2.972972973,0.567567568,3.945945946,14.702702703,20.243243243,9.486486486,7.567567568,2.540540541,15
2010,3,NY Rangers Rangers (NYR),22,28.105263158,15.973684211,3.052631579,0.631578947,3.657894737,15.184210526,28.921052632,5.105263158,6.947368421,2.078947368,16
2011,5,Pittsburgh Penguins (PIT),21,33.736842105,12.921052632,3.105263158,0.815789474,4.131578947,10.684210526,22.552631579,6.394736842,6,2.657894737,4
2005,17,Detroit Red Wings (DET),25,32.081081081,12.243243243,3.756756757,1.432432432,5.756756757,14.270270270,14.432432432,11.486486486,7.675675676,1.648648649,1
2003,19,St Louis Blues (STL),21,27.257142857,11.771428571,2.6,0.914285714,4.314285714,17.4,16.914285714,10.028571429,4.4,2.457142857,14
2016,1,New Jersey Devils (NJD),14,27.783783784,12.891891892,2.243243243,0.486486486,3.459459459,9.378378378,20.918918919,8.675675676,5.378378378,2.729729730,
2009,25,Dallas Stars (DAL),17,32.076923077,13.512820513,2.923076923,0.897435897,4.358974359,10.589743590,27.897435897,9,8.179487179,2.743589744,
2017,29,Columbus Blue Jackets (CBJ),22,33.675,14.825,2.725,0.35,2.975,7.5,22.125,6.125,7.65,2.475,14
2018,9,Ottawa Senators (OTT),15,29.153846154,17.461538462,3.153846154,0.666666667,3.051282051,9.794871795,20.410256410,11.948717949,7.384615385,2.051282051,
2016,10,Toronto Maple Leafs (TOR),16,34,15.457142857,2.914285714,0.628571429,3.142857143,11.057142857,24.828571429,9.8,8.857142857,3.028571429,14
2005,14,Tampa Bay Lightning (TBL),19,31.487179487,12.897435897,3.025641026,0.897435897,6.153846154,11.923076923,10.333333333,8.128205128,7.974358974,1.564102564,16
2003,5,Pittsburgh Penguins (PIT),9,22.540540541,14.432432432,2.027027027,0.594594595,4.648648649,16.324324324,13.810810811,6.972972973,4.459459459,2.540540541,
2015,30,Minnesota Wild (MIN),19,28.314285714,14.542857143,2.714285714,0.628571429,3.114285714,7.228571429,17.057142857,7.314285714,6.857142857,2.314285714,16
2005,16,Chicago Blackhawks (CHI),13,30.594594595,11.486486486,2.675675676,0.810810811,5.837837838,22.216216216,16.459459459,6.054054054,5.621621622,2.054054054,
2011,20,Calgary Flames (CGY),18,28.564102564,13.769230769,2.435897436,0.589743590,3.358974359,11.205128205,18.820512821,9.410256410,8.230769231,2.871794872,
2016,20,Calgary Flames (CGY),19,28.368421053,13.763157895,2.605263158,0.605263158,3.263157895,12.236842105,19.473684211,9.684210526,7.526315789,2.842105263,15
2013,12,Carolina Hurricanes (CAR),14,29.717948718,13.384615385,2.307692308,0.487179487,3.512820513,8.692307692,23.794871795,8.589743590,10.461538462,2.846153846,
2015,29,Columbus Blue Jackets (CBJ),14,28.820512821,14.230769231,2.487179487,0.538461538,3.102564103,13.487179487,27.538461538,5.051282051,5.076923077,2.461538462,
2010,27,Phoenix Coyotes (PHX),17,31.333333333,12.138888889,2.666666667,0.666666667,3.777777778,12.111111111,21.222222222,6.666666667,5.5,2.75,11
2018,13,Florida Panthers (FLA),16,34.324324324,13.756756757,3.216216216,1.054054054,3.702702703,8.594594595,21.297297297,13.891891892,9.108108108,2.756756757,
2015,20,Calgary Flames (CGY),17,29.083333333,16.777777778,2.638888889,0.388888889,3.083333333,8.138888889,20.638888889,9.027777778,7.222222222,2.694444444,
2008,16,Chicago Blackhawks (CHI),20,31.647058824,11.264705882,3.558823529,1.029411765,4.529411765,15.794117647,18.264705882,5.088235294,6.117647059,1.941176471,6
2010,16,Chicago Blackhawks (CHI),20,31.897435897,14.358974359,3.102564103,0.897435897,3.564102564,10.410256410,23.230769231,7.769230769,10.615384615,2.025641026,13
2018,3,NY Rangers Rangers (NYR),16,28.405405405,15.972972973,2.810810811,0.594594595,2.918918919,9.405405405,25.918918919,13.648648649,8.270270270,2.432432432,
2018,22,Edmonton Oilers (EDM),18,30.157894737,14.315789474,2.815789474,0.657894737,3.052631579,9.894736842,26.447368421,12.263157895,8.921052632,2.921052632,
2006,17,Detroit Red Wings (DET),23,32.405405405,10.783783784,2.945945946,0.756756757,5.108108108,12.810810811,15.675675676,13.270270270,7.567567568,2.054054054,2
2010,25,Dallas Stars (DAL),22,27.315789474,14.578947368,2.763157895,0.657894737,4,14.736842105,27.578947368,9.052631579,8.157894737,2.342105263,
2013,28,San Jose Sharks (SJS),25,36,16.666666667,3.128205128,0.743589744,4.025641026,8.564102564,18.102564103,9.897435897,7.538461538,2.769230769,5
2013,23,Vancouver Canucks (VAN),23,32.121951220,15.146341463,2.658536585,0.463414634,3.146341463,11.390243902,18.756097561,6.439024390,6.341463415,2.634146341,
2016,52,Winnipeg Jets (WPG),17,28.131578947,14.131578947,2.605263158,0.526315789,3.236842105,10.342105263,23.710526316,9.973684211,7.631578947,2.842105263,
2014,7,Buffalo Sabres (BUF),14,23.184210526,18.263157895,1.842105263,0.263157895,2.815789474,13.236842105,27.210526316,6.710526316,4.315789474,2.868421053,
2013,24,Anaheim Ducks (ANA),28,31.804878049,15.073170732,3.146341463,0.463414634,3.195121951,9.682926829,22.365853659,7.365853659,5.756097561,2.707317073,2
2009,4,Philadelphia Flyers (PHI),19,31.974358974,14.871794872,2.794871795,0.846153846,3.974358974,17.461538462,19.307692308,8.410256410,7.230769231,2.435897436,15
2009,8,Montreal Canadiens (MTL),21,27.255813953,17,2.558139535,0.744186047,2.953488372,12.534883721,18.883720930,12.976744186,6.953488372,2.279069767,16
2008,29,Columbus Blue Jackets (CBJ),16,30.277777778,12.361111111,2.555555556,0.472222222,4.472222222,15.777777778,24.5,5.638888889,6.666666667,2.833333333,15
2017,54,Vegas Golden Knights (VGK),26,32.297297297,16.162162162,3.513513514,0.621621622,3.405405405,7.216216216,19.162162162,9.972972973,11.918918919,2.648648649,5
2018,30,Minnesota Wild (MIN),18,31.973684211,15.263157895,2.894736842,0.684210526,2.947368421,8.605263158,19.605263158,6.078947368,6.868421053,2.368421053,
2014,52,Winnipeg Jets (WPG),19,29.921052632,14.184210526,2.473684211,0.552631579,3.289473684,14.131578947,28.157894737,9.289473684,6.631578947,2.684210526,14
2008,4,Philadelphia Flyers (PHI),20,28.243243243,15.054054054,3.378378378,1.027027027,3.837837838,18.621621622,19.864864865,9.945945946,6.540540541,2.189189189,9
2010,11,Atlanta Thrashers (ATL),20,30.829268293,16.634146341,3.048780488,0.780487805,3.731707317,11.658536585,17.780487805,7.756097561,10.024390244,2.634146341,
2008,2,NY Islanders Islanders (NYI),12,29.184210526,17.052631579,2.526315789,0.815789474,4.421052632,15.921052632,20.789473684,8.921052632,9.052631579,2.184210526,
2015,23,Vancouver Canucks (VAN),14,29.289473684,13.421052632,2.394736842,0.552631579,3.368421053,12.052631579,19.315789474,7.763157895,4.973684211,2.421052632,
2006,7,Buffalo Sabres (BUF),28,29.578947368,16.710526316,3.842105263,0.947368421,5.631578947,14.631578947,15.157894737,13,6.921052632,1.815789474,1
2015,16,Chicago Blackhawks (CHI),21,30.5,13.421052632,2.710526316,0.710526316,3.052631579,7.368421053,18.131578947,8.131578947,6.157894737,2.5,5
2006,23,Vancouver Canucks (VAN),20,30.384615385,10.384615385,2.410256410,0.846153846,5.333333333,15.538461538,15.512820513,6.846153846,6.743589744,1.820512821,8
2017,17,Detroit Red Wings (DET),14,30.783783784,13.108108108,2.621621622,0.648648649,3.189189189,9.594594595,20.135135135,11,6.432432432,2.621621622,
2009,10,Toronto Maple Leafs (TOR),14,33.804878049,15.048780488,2.756097561,0.682926829,3.585365854,12.731707317,21.195121951,9.829268293,6.609756098,2.658536585,
2015,21,Colorado Avalanche (COL),18,28.135135135,17.243243243,2.864864865,0.702702703,3.459459459,9.432432432,23.675675676,7.027027027,5.945945946,2.270270270,
2005,20,Calgary Flames (CGY),22,28.368421053,11.815789474,2.552631579,1.026315789,6.026315789,17.657894737,20.605263158,11.526315789,8.710526316,2.421052632,7
2016,8,Montreal Canadiens (MTL),22,30.527777778,15,3.027777778,0.638888889,3.166666667,10.333333333,21.833333333,11.694444444,7.138888889,2.083333333,7
2006,12,Carolina Hurricanes (CAR),21,30.525,14.125,3.1,0.95,5.825,13.475,21.375,8.25,6.325,2.2,
2014,9,Ottawa Senators (OTT),15,29.361111111,12.222222222,2.611111111,0.638888889,3.527777778,12.472222222,27.916666667,8.055555556,7.416666667,2.638888889,13
2015,4,Philadelphia Flyers (PHI),15,30.055555556,14.833333333,2.138888889,0.472222222,2.944444444,13.222222222,30.333333333,8.083333333,4.805555556,2.777777778,13
2005,29,Columbus Blue Jackets (CBJ),12,28,10.710526316,2.026315789,0.684210526,5.921052632,18.052631579,14.105263158,6.605263158,7.368421053,1.868421053,
2014,25,Dallas Stars (DAL),16,29.942857143,15.2,2.857142857,0.571428571,3.514285714,10.771428571,19.742857143,9.914285714,7.8,2.428571429,
2016,16,Chicago Blackhawks (CHI),23,28.948717949,13.307692308,2.717948718,0.589743590,3.102564103,6.461538462,14.923076923,9.384615385,6.871794872,2.948717949,3
2013,2,NY Islanders Islanders (NYI),12,29.3,16.325,2.45,0.475,3.15,11.925,23.975,9.225,7.975,2.925,
2018,29,Columbus Blue Jackets (CBJ),22,32,13.894736842,3.236842105,0.421052632,3.131578947,7.131578947,18.736842105,7.236842105,6.894736842,2.5,13
2005,18,Nashville Predators (NSH),24,28.833333333,12.638888889,3.166666667,1.277777778,6.805555556,19.861111111,12.861111111,7.111111111,6.361111111,1.944444444,6
2010,20,Calgary Flames (CGY),16,30.513513514,13.810810811,2.594594595,0.675675676,4.162162162,13.378378378,20.675675676,8.972972973,6.594594595,2.918918919,
2018,20,Calgary Flames (CGY),23,32.179487179,12.153846154,3.410256410,0.743589744,3.538461538,8.692307692,14.692307692,12.923076923,9.435897436,2.794871795,2
2013,26,Los Angeles Kings (LAK),25,30.975,11.25,2.55,0.525,3.325,11.95,32.85,10.2,4.05,3,10
2018,1,New Jersey Devils (NJD),15,32.973684211,13.605263158,2.973684211,0.631578947,3.236842105,8.815789474,21.394736842,9.157894737,8.315789474,2.973684211,
2003,25,Dallas Stars (DAL),17,25.184210526,10.815789474,2.052631579,0.684210526,4.184210526,15.5,17.315789474,19,9.394736842,2.684210526,11
2018,7,Buffalo Sabres (BUF),21,32.1,12.85,2.8,0.6,3.125,7.825,17.9,9.125,5.95,2.85,
2005,26,Los Angeles Kings (LAK),24,29.575,12.55,3.45,1.05,6.85,18.85,17.7,10.3,5.325,2.55,
2014,20,Calgary Flames (CGY),20,27.184210526,18.657894737,2.815789474,0.631578947,3.342105263,8.447368421,22.236842105,10.421052632,8.289473684,2.973684211,16
2017,53,Arizona Coyotes (ARI),9,30.048780488,14.097560976,2.268292683,0.536585366,3.219512195,7.707317073,23.951219512,8.146341463,5.121951220,2.780487805,
2013,10,Toronto Maple Leafs (TOR),20,27.365853659,15.634146341,2.658536585,0.707317073,3.170731707,13.853658537,33.804878049,11.951219512,7.146341463,2.585365854,
2014,29,Columbus Blue Jackets (CBJ),15,27.823529412,13.5,2.411764706,0.852941176,3.558823529,12.176470588,31.617647059,6.558823529,6.235294118,2.823529412,
2006,30,Minnesota Wild (MIN),20,29.615384615,12.512820513,2.641025641,0.948717949,5.051282051,11.692307692,12.384615385,8.743589744,6.384615385,2.256410256,11
2008,12,Carolina Hurricanes (CAR),17,31.351351351,15.054054054,2.594594595,0.702702703,4.837837838,10.540540541,21,6.864864865,8.054054054,2.486486486,11
2014,1,New Jersey Devils (NJD),13,25.763157895,12.342105263,2.105263158,0.605263158,2.947368421,9.236842105,18.5,8.394736842,5.473684211,2.710526316,
2011,52,Winnipeg Jets (WPG),18,30.054054054,14.081081081,2.702702703,0.567567568,3.243243243,12.297297297,23.567567568,7.135135135,5.621621622,2.540540541,
2008,15,Washington Capitals (WSH),24,31.631578947,12.947368421,3.236842105,0.973684211,4.131578947,12.605263158,20.578947368,11.815789474,8.947368421,2.684210526,4
2016,15,Washington Capitals (WSH),21,30.657142857,12.085714286,2.742857143,0.542857143,3.2,8.485714286,20.428571429,11.142857143,8.285714286,2.285714286,1
2014,18,Nashville Predators (NSH),24,32.777777778,14.638888889,2.833333333,0.444444444,3.333333333,8.055555556,18.777777778,7.888888889,6.027777778,2.722222222,6
2003,7,Buffalo Sabres (BUF),14,27.135135135,11.486486486,2.162162162,0.486486486,4.054054054,15.297297297,14.324324324,10.756756757,4.972972973,2.945945946,
2017,9,Ottawa Senators (OTT),12,30.243243243,15.918918919,2.621621622,0.540540541,3.405405405,8.945945946,23.081081081,10,7.216216216,1.621621622,
2014,21,Colorado Avalanche (COL),13,28.722222222,15.777777778,2.444444444,0.472222222,3.25,10.861111111,24.722222222,6.888888889,9.305555556,2.416666667,
2014,14,Tampa Bay Lightning (TBL),24,29.641025641,13.589743590,3.230769231,0.666666667,3.512820513,9.871794872,20.461538462,7.641025641,6.692307692,2.717948718,5
2013,16,Chicago Blackhawks (CHI),28,33.166666667,12.619047619,3.666666667,0.809523810,3.333333333,8.785714286,17.738095238,7.309523810,8.523809524,2.619047619,7
2018,8,Montreal Canadiens (MTL),20,34.333333333,14.230769231,3.153846154,0.461538462,3.384615385,9.025641026,27.487179487,10.897435897,7.307692308,2.974358974,
2013,13,Florida Panthers (FLA),15,29.024390244,12.682926829,2.243902439,0.365853659,3.365853659,11.170731707,22.243902439,5.926829268,6.512195122,2.780487805,
2014,6,Boston Bruins (BOS),19,30.486486486,12.486486486,2.594594595,0.405405405,2.324324324,10.135135135,24.567567568,6.918918919,5.702702703,2.270270270,
2008,1,New Jersey Devils (NJD),21,31.285714286,11.742857143,2.942857143,0.571428571,3.571428571,13.771428571,16.828571429,6.171428571,4.657142857,2.257142857,5
2013,5,Pittsburgh Penguins (PIT),29,30.404761905,15.880952381,3.047619048,0.857142857,3.357142857,10.357142857,25.880952381,7.166666667,5,2.547619048,6
2005,24,Anaheim Ducks (ANA),17,32.052631579,7.421052632,2.815789474,0.894736842,6,18.894736842,14.394736842,6.578947368,6.763157895,2.473684211,12
2011,1,New Jersey Devils (NJD),21,27.486486486,11.216216216,2.567567568,0.486486486,3.594594595,12.486486486,20.108108108,7.378378378,5.270270270,2.621621622,9
2003,22,Edmonton Oilers (EDM),13,29.837837838,13.810810811,2.540540541,0.486486486,4.405405405,16.162162162,12.459459459,14.621621622,6.108108108,2.621621622,
2016,18,Nashville Predators (NSH),16,32.111111111,12.972222222,2.805555556,0.694444444,3.416666667,9.305555556,20.666666667,8.583333333,6.638888889,2.361111111,16
2013,21,Colorado Avalanche (COL),23,29.789473684,15.342105263,2.815789474,0.473684211,2.947368421,11.631578947,25.5,6.184210526,7.052631579,2.736842105,3
2009,24,Anaheim Ducks (ANA),16,29.564102564,12.282051282,2.743589744,0.820512821,3.743589744,14.948717949,26.025641026,8.230769231,5.307692308,2.538461538,
2010,15,Washington Capitals (WSH),22,32.820512821,14.615384615,2.948717949,0.692307692,3.743589744,13.076923077,23.282051282,8.769230769,7.871794872,2.589743590,2
2006,24,Anaheim Ducks (ANA),28,32.682926829,9.268292683,3.439024390,1.146341463,5.146341463,17.195121951,17.902439024,8.487804878,7.048780488,2.585365854,4
2017,6,Boston Bruins (BOS),21,31.756756757,14,3.027027027,0.702702703,3.324324324,10.837837838,23.486486486,8.891891892,9.810810811,2.729729730,4
2003,27,Phoenix Coyotes (PHX),11,26.555555556,9.805555556,2.444444444,0.611111111,4.25,18,17.972222222,7.583333333,4.638888889,2.416666667,
2013,6,Boston Bruins (BOS),26,30.717948718,13.615384615,2.897435897,0.589743590,2.717948718,11.179487179,24.410256410,7.410256410,6.461538462,2.256410256,1
2010,8,Montreal Canadiens (MTL),21,31.923076923,15.128205128,2.487179487,0.641025641,3.461538462,12.256410256,21.487179487,8.051282051,5.692307692,2.410256410,14
2018,18,Nashville Predators (NSH),23,32.675,12.775,2.975,0.525,3.425,8.35,17.65,10.2,8.15,2.525,8
2017,14,Tampa Bay Lightning (TBL),28,32.631578947,13.157894737,3.736842105,0.973684211,3.789473684,9,18.947368421,8.263157895,7.526315789,2.789473684,3
2018,16,Chicago Blackhawks (CHI),15,31.536585366,12.878048780,2.902439024,0.463414634,3,8.292682927,15.560975610,8.390243902,7.414634146,2.902439024,
2008,13,Florida Panthers (FLA),16,28.270270270,12.972972973,2.459459459,0.540540541,3.864864865,12.432432432,19.108108108,6.972972973,5.621621622,2.081081081,
2014,22,Edmonton Oilers (EDM),8,28.243243243,14.108108108,2.108108108,0.351351351,3,8.972972973,23.513513514,10.918918919,6.783783784,2.675675676,
2016,7,Buffalo Sabres (BUF),13,29.5,13.055555556,2.138888889,0.694444444,3.222222222,8.722222222,24.083333333,6.888888889,5.277777778,2.75,
2018,26,Los Angeles Kings (LAK),15,28.974358974,14.358974359,2.256410256,0.410256410,2.769230769,7.333333333,22.589743590,11.384615385,4.307692308,2.384615385,
2008,5,Pittsburgh Penguins (PIT),19,27.162162162,16.216216216,3.108108108,0.810810811,4.486486486,14.432432432,22.540540541,7.648648649,5.513513514,2.513513514,8
2005,28,San Jose Sharks (SJS),16,30.162162162,10.810810811,3.054054054,1,6.081081081,12.918918919,16.135135135,10.351351351,6.081081081,2.648648649,11
2008,26,Los Angeles Kings (LAK),15,29.594594595,12.135135135,2.540540541,0.837837838,4.513513514,14.081081081,25.675675676,11.783783784,5.756756757,2.864864865,
2005,9,Ottawa Senators (OTT),27,34.055555556,13.138888889,4.333333333,1.5,6.388888889,20.194444444,21.444444444,9.25,8.25,1.583333333,2
2013,29,Columbus Blue Jackets (CBJ),17,27.564102564,13.282051282,2.666666667,0.564102564,3.307692308,12.205128205,30.435897436,5.410256410,5.794871795,2.589743590,14
2003,14,Tampa Bay Lightning (TBL),15,29,12.4,2.257142857,0.628571429,4.714285714,15.171428571,13.057142857,9.542857143,7.114285714,2.628571429,2
2017,30,Minnesota Wild (MIN),20,29.076923077,16.307692308,2.769230769,0.589743590,3.076923077,9.564102564,17.564102564,6.358974359,6.051282051,2.487179487,8
2013,52,Winnipeg Jets (WPG),18,31.536585366,15.219512195,2.585365854,0.487804878,3.268292683,11.731707317,26.317073171,8.487804878,6.487804878,2.682926829,
2010,21,Colorado Avalanche (COL),20,30.567567568,15.567567568,3.405405405,0.783783784,3.432432432,13.108108108,20.918918919,7.675675676,7.918918919,2.540540541,
2014,28,San Jose Sharks (SJS),19,31.378378378,15.027027027,2.675675676,0.702702703,2.972972973,10.189189189,23.540540541,10.459459459,7.297297297,2.837837838,
2016,28,San Jose Sharks (SJS),23,30.861111111,15.972222222,2.5,0.555555556,3.305555556,7.972222222,19.944444444,13.833333333,7.611111111,2.75,11
2008,11,Atlanta Thrashers (ATL),12,27.216216216,12.756756757,2.918918919,0.891891892,4.189189189,14.432432432,15.702702703,7.756756757,8.216216216,2.243243243,
2017,4,Philadelphia Flyers (PHI),16,32.157894737,15.026315789,2.789473684,0.684210526,3.5,8.710526316,20.315789474,9.736842105,5.394736842,2.526315789,13
2015,52,Winnipeg Jets (WPG),17,29.555555556,13.25,2.694444444,0.444444444,3.111111111,12.388888889,25.638888889,9.25,6.555555556,2.944444444,
2006,15,Washington Capitals (WSH),16,28.153846154,13.897435897,3.025641026,0.923076923,5.512820513,17.923076923,17.923076923,12.461538462,8.897435897,2.871794872,
2009,27,Phoenix Coyotes (PHX),25,29.658536585,11.707317073,2.536585366,0.634146341,3.707317073,12.487804878,21.268292683,4.585365854,4.439024390,2.097560976,4
2017,10,Toronto Maple Leafs (TOR),23,30.775,14,3.325,0.625,2.825,7.95,20.75,11.3,8.2,2.975,7
2003,24,Anaheim Ducks (ANA),12,29.305555556,9.222222222,2.055555556,0.611111111,3.944444444,14.277777778,13.666666667,10.444444444,9.666666667,2.333333333,
2011,16,Chicago Blackhawks (CHI),24,32.447368421,13.184210526,3.184210526,0.684210526,3.684210526,10.263157895,17.736842105,7.184210526,9.815789474,2.842105263,10
2015,7,Buffalo Sabres (BUF),15,29.710526316,12.947368421,2.289473684,0.605263158,3.131578947,6.710526316,23.684210526,6.421052632,4.947368421,2.052631579,
2010,23,Vancouver Canucks (VAN),22,31.257142857,13.914285714,3.428571429,0.971428571,4.028571429,11.514285714,22.742857143,6.228571429,7.771428571,2.742857143,1
2010,14,Tampa Bay Lightning (TBL),22,32.394736842,15.526315789,3.078947368,1.026315789,4.368421053,11.263157895,16.921052632,8.157894737,6.289473684,2.026315789,8
2006,21,Colorado Avalanche (COL),18,33.052631579,14.921052632,3.105263158,0.973684211,5.263157895,11.578947368,10.026315789,9.052631579,9.105263158,2.289473684,
2006,13,Florida Panthers (FLA),15,31.512195122,12.756097561,2.707317073,0.853658537,4.463414634,16.073170732,21.146341463,9.682926829,6.756097561,2.414634146,
2015,6,Boston Bruins (BOS),20,31.305555556,14.972222222,3.138888889,0.833333333,2.833333333,13.361111111,27.777777778,8.527777778,6.305555556,3,
2013,3,NY Rangers Rangers (NYR),20,31.365853659,13.121951220,2.268292683,0.682926829,3.365853659,10.975609756,24.024390244,7.707317073,6.439024390,2.121951220,12
2014,24,Anaheim Ducks (ANA),24,30.552631579,15.052631579,2.710526316,0.526315789,3.289473684,11.710526316,28.763157895,9.078947368,6.105263158,2.5,3
2010,7,Buffalo Sabres (BUF),15,33.189189189,13.081081081,2.567567568,0.621621622,3.837837838,13.972972973,18.540540541,9.324324324,6.675675676,3.027027027,15
2017,24,Anaheim Ducks (ANA),18,29.45,15.475,2.675,0.475,2.775,10.8,23.25,10.425,6.4,2.9,9
2009,22,Edmonton Oilers (EDM),16,28.175,15.75,2.725,0.725,3.85,14.5,19.4,12.8,5.975,2.2,
2009,3,NY Rangers Rangers (NYR),18,29.282051282,14.923076923,2.641025641,0.769230769,3.666666667,13.974358974,27.051282051,5.871794872,7.051282051,1.769230769,
2017,13,Florida Panthers (FLA),17,34.157894737,14.184210526,2.789473684,0.5,3.157894737,10.210526316,20.315789474,12.447368421,9.210526316,2.736842105,
2013,30,Minnesota Wild (MIN),20,27.642857143,13.142857143,2.190476190,0.595238095,3.142857143,9.547619048,17.071428571,5.833333333,6.857142857,2.642857143,11
2008,18,Nashville Predators (NSH),17,29,12.5,2.444444444,0.583333333,4.25,14.666666667,18.416666667,6.583333333,7.5,2.166666667,
2006,16,Chicago Blackhawks (CHI),16,26.405405405,14.324324324,2.540540541,0.567567568,4.756756757,15.378378378,16.513513514,5.756756757,4.405405405,2,
2008,24,Anaheim Ducks (ANA),19,29.297297297,9.648648649,2.810810811,0.783783784,3.837837838,19.567567568,22.432432432,8.864864865,6.513513514,2.324324324,16
2010,22,Edmonton Oilers (EDM),12,26.027777778,14.944444444,2.583333333,0.555555556,3.666666667,14.555555556,21.75,12.944444444,7.861111111,2.888888889,
2015,22,Edmonton Oilers (EDM),15,29.263157895,14.763157895,2.5,0.5,3,7.578947368,20.315789474,10.263157895,7.052631579,2.631578947,
2003,16,Chicago Blackhawks (CHI),9,28.026315789,11.842105263,1.842105263,0.5,4.605263158,15.078947368,15,6.105263158,4.184210526,2.184210526,
2010,4,Philadelphia Flyers (PHI),23,33.108108108,16.729729730,3.378378378,0.729729730,4.135135135,15.216216216,21.864864865,8.108108108,7,2.459459459,3
2005,4,Philadelphia Flyers (PHI),24,33.631578947,11.605263158,3.710526316,1.157894737,6.368421053,14.421052632,14.763157895,9.447368421,6.236842105,2.263157895,9
2009,17,Detroit Red Wings (DET),19,33.051282051,10.435897436,2.487179487,0.717948718,4.076923077,9.307692308,25.461538462,9.897435897,6.974358974,2.282051282,7
2014,8,Montreal Canadiens (MTL),24,27.432432432,17.621621622,2.567567568,0.405405405,2.756756757,10.810810811,18.675675676,9.459459459,5.486486486,2.162162162,2
2006,26,Los Angeles Kings (LAK),14,33.15,15.025,2.825,1.05,5.55,16.15,18,10.975,4.1,2.775,
